Entity1	Entity2	Value
fma:Primitive_erythroblast	nci:Basophilic_Erythroblast	0.75
fma:Totipotent_neuroepithelial_stem_cell	nci:Totipotent_Neuroepithelial_Stem_Cell	0.66
fma:Axillary_nerve	nci:Axillary_Nerve	0.57
fma:Brachiocephalic_artery	nci:Innominate_Artery	0.59
fma:Pulmonary_acinus	nci:Pulmonary_Lobule	0.46
fma:Papillary_muscle	nci:Papillary_Muscle	0.54
fma:Fetal_heart	nci:Fetal_Heart	0.56
fma:Endometrium	nci:Endometrium	0.55
fma:Osteoclast	nci:Osteoclast	0.65
fma:Alveolar_sac	nci:Alveolar_Sac	0.56
fma:Extensor_digitorum_longus	nci:Extensor_Digitorum_Longus	0.64
fma:Third_ventricle	nci:Third_Ventricle_of_Brain	0.55
fma:Set_of_trabeculae_of_lymph_node	nci:Lymph_Node_Trabecula	0.48
fma:Outer_nuclear_membrane	nci:Nuclear_Outer_Membrane	0.61
fma:Set_of_hamstring_muscles	nci:Hamstring	0.56
fma:Ulna	nci:Ulna	0.62
fma:Nasolacrimal_duct	nci:Nasolacrimal_Duct	0.65
fma:Eosinophil	nci:Eosinophil	0.67
fma:Surface	nci:Surface	0.5
fma:Quadratus_lumborum	nci:Quadratus_Lumborum	0.66
fma:Hippocampus	nci:Hippocampus	0.55
fma:Middle_cerebral_artery	nci:Middle_Cerebral_Artery	0.62
fma:Selectin	nci:Selectin	0.67
fma:Intermediate	nci:Intermediate	0.5
fma:Celiac_trunk	nci:Coeliac_Artery	0.59
fma:Phalanx_of_finger	nci:Hand_Phalanx	1.0
fma:Left_renal_artery	nci:Left_Renal_Artery	0.62
fma:Trochlear_nerve	nci:Trochlear_Nerve	0.58
fma:Nose	nci:Nose	0.56
fma:Set_of_duodenal_glands	nci:Brunner_s_Gland	0.57
fma:Capsule_of_lens	nci:Lens_Capsule	0.55
fma:Medial_vestibular_nucleus	nci:Medial_Vestibular_Nucleus	0.7
fma:Metanephros	nci:Metanephros	0.64
fma:Anterior_surface_of_prostate	nci:Anterior_Surface_of_the_Prostate	0.54
fma:Lysine	nci:Lysine	0.5
fma:Cymba_conchae_of_pinna	nci:Cymba_Conchae	0.54
fma:Caudate_nucleus	nci:Caudate_Nucleus	0.58
fma:Right_renal_vein	nci:Right_Renal_Vein	0.64
fma:Cystic_duct	nci:Cystic_Duct	0.73
