Entity1	Entity2	Value
fma:Ninth_anterior_intercostal_vein	snomed:Ninth_anterior_intercostal_vein	0.56
fma:Right_lateral	snomed:Lateral_to_the_right	0.41
fma:Third_internal_intercostal_muscle	snomed:Third_internal_intercostal_muscle	0.56
fma:Medial_meniscus	snomed:Medial_meniscus_structure	0.49
fma:Tarsal_gland	snomed:Structure_of_meibomian_gland	0.43
fma:Superior_gluteal_artery	snomed:Structure_of_superior_gluteal_artery	0.49
fma:Nasomaxillary_suture	snomed:Structure_of_nasomaxillary_suture_of_skull	0.53
fma:Mandibular_nerve	snomed:Structure_of_mandibular_nerve	0.42
fma:Carpometacarpal_joint_of_thumb	snomed:Carpometacarpal_joint_structure_of_thumb	0.54
fma:Thoracolumbar_fascia	snomed:Structure_of_thoracolumbar_fascia	0.47
fma:Heparin	snomed:Heparin	0.5
fma:Intermediate_supraclavicular_nerve	snomed:Intermediate_supraclavicular_nerve	0.58
fma:Subcutaneous_infrapatellar_bursa	snomed:Structure_of_subcutaneous_infrapatellar_bursa	0.55
fma:Arch_of_cricoid_cartilage	snomed:Structure_of_arch_of_cricoid_cartilage	0.45
fma:Set_of_posterior_conjunctival_arteries	snomed:Structure_of_posterior_conjunctival_artery	0.39
fma:Nucleus_pulposus_of_intervertebral_disk_of_third_lumbar_vertebra	snomed:Structure_of_nucleus_pulposus_of_intervertebral_disc_of_third_lumbar_vertebra	0.51
fma:Hepatopancreatic_ampulla	snomed:Structure_of_ampulla_of_Vater	0.41
fma:Spinotectal_tract_of_spinal_cord	snomed:Structure_of_spinotectal_tract	0.47
fma:Pectoral_fascia	snomed:Structure_of_pectoral_fascia	0.42
fma:Left_gastro_epiploic_artery	snomed:Structure_of_left_gastroepiploic_artery	0.48
fma:Fourth_thoracic_vertebral_arch	snomed:Structure_of_arch_of_fourth_thoracic_vertebra	0.47
fma:Right_shoulder	snomed:Structure_of_right_shoulder_region	0.4
fma:Left_fifth_posterior_intercostal_vein	snomed:Fifth_left_posterior_intercostal_vein	0.55
fma:Nasal_muscle	snomed:Structure_of_muscle_of_nose	0.09
fma:Nerve_plexus	snomed:Structure_of_nerve_plexus	0.5
fma:Tenth_innermost_intercostal_muscle	snomed:Tenth_innermost_intercostal_muscle	0.59
fma:Communicating_branch_of_radial_nerve_with_ulnar_nerve	snomed:Structure_of_radial_nerve_communicating_branch_with_ulnar_nerve	0.55
fma:Metatarsus	snomed:Structure_of_metatarsal_region_of_foot	0.42
fma:Left_anterior_basal_segmental_vein	snomed:Structure_of_anterior_basal_branch_of_inferior_left_pulmonary_vein	0.48
fma:Superficial_cervical_artery	snomed:Structure_of_superficial_cervical_artery	0.49
fma:Fibrous_ring_of_tricuspid_valve	snomed:Structure_of_anulus_fibrosus_of_tricuspid_orifice	0.29
fma:Root_of_third_sacral_nerve	snomed:Spinal_nerve_root_S3	0.39
fma:Ninth_thoracic_vertebral_foramen	snomed:T9_vertebral_foramen	0.41
fma:Methionine	snomed:L_Methionine	0.49
fma:Left_common_iliac_artery	snomed:Structure_of_left_common_iliac_artery	0.46
fma:C5_level	snomed:Level_of_the_fifth_cervical_vertebra	0.29
fma:Set_of_sesamoid_bones	snomed:Structure_of_sesamoid_bone_of_foot	0.42
fma:Third_thoracic_vertebral_arch	snomed:Structure_of_arch_of_third_thoracic_vertebra	0.47
fma:Pituicyte	snomed:Pituicyte	0.64
