Entity1	Entity2	Value
snomed:Body_system_structure	nci:Organ_System	0.56
snomed:Area_under_the_curve	nci:Area_under_Curve	0.5
snomed:Nicotine_patches	nci:Nicotine_Patch	0.48
snomed:Mesentery_structure	nci:Mesentery	0.42
snomed:Biological_substance	nci:Biological_Agent	0.44
snomed:Milk	nci:Milk	0.53
snomed:General_metabolic_function	nci:Intermediary_Metabolism	0.19
snomed:Disintegrations_per_minute	nci:Disintegration_per_Minute	0.58
snomed:Ricin	nci:Ricin	0.53
snomed:Chloride_salt	nci:Chlorine_Minus_1_Charge	0.48
snomed:Retroperitoneal_structure	nci:Retroperitoneum	0.39
snomed:Enzyme	nci:Enzyme	0.57
snomed:Yeast_form	nci:Yeast_Dried	0.41
snomed:Proton	nci:Proton	0.57
snomed:High_pressure_liquid_chromatography	nci:High_Performance-Liquid_Chromatography	0.6
snomed:Date_property	nci:Date_Value	0.35
snomed:Posterior	nci:Back	0.0
snomed:Small_intestinal	nci:Small_Intestine	0.46
snomed:Silybum_marianum_extract	nci:Milk_Thistle	0.0
snomed:Finding_of_sense_of_taste	nci:Gustation	0.19
snomed:Malignant_lymphoma_of_testis	nci:Testicular_Lymphoma	0.55
snomed:Window	nci:Window	0.5
snomed:Pseudogene	nci:Pseudogene	0.5
snomed:Male_structure	nci:Male	0.34
snomed:Ring_form_neutrophil	nci:Doughnut_Cell	0.0
snomed:Growth_factor	nci:Growth_Factor	0.61
snomed:Disorder_of_bone_development	nci:Bone_Development_Disorder	0.51
snomed:Drug_dependence	nci:Drug_Dependence	0.69
snomed:Sexual_behavior	nci:Sex_Behavior	0.56
snomed:Eltrombopag_olamine	nci:Eltrombopag	0.55
snomed:Method_of_sampling	nci:Type_of_Sample	0.19
snomed:Hepatocellular_carcinoma_scirrhous	nci:Sclerosing_Hepatocellular_Carcinoma	0.62
snomed:pM_category	nci:Distant_Metastasis	0.0
snomed:Epithelioid_cell_nevus	nci:Epithelioid_Cell_Nevus	0.68
snomed:Chemotherapy	nci:Chemotherapy	0.62
snomed:Endopeptidase	nci:Endopeptidase	0.55
snomed:Necrosis	nci:Necrotic	0.3
snomed:Striated_muscle_cell_atypia	nci:Striated_Muscle_Cell_Atypia	0.56
snomed:Disorder_of_skin	nci:Dermatosis	0.04
snomed:Cardiovascular_finding	nci:Cardiovascular_System_Finding	0.5
