Entity1	Entity2	Value
snomed:Mucocele_of_salivary_gland_unspecified	nci:Salivary_Cyst	0.14
snomed:Leukoplakia_of_anus	nci:Anal_Leukoplakia	0.61
snomed:Arthropathies_NOS	nci:Arthropathy	0.43
snomed:Structure_of_olfactory_bulb	nci:Olfactory_Bulb	0.43
snomed:Cyproheptadine	nci:Cyproheptadine	0.56
snomed:Malignant_neoplasm_of_urinary_bladder_NOS	nci:Malignant_Bladder_Neoplasm	0.61
snomed:Very_long_chain_fatty_acid	nci:Very_Long_Chain_Fatty_Acid	0.53
snomed:Eucerin_patch_test_substance	nci:Eucerin	0.33
snomed:Barrett_s_ulcer_of_esophagus	nci:Barrett_s_Esophagus	0.55
snomed:Stat	nci:Immediately	0.5
snomed:Digitalis_preparation	nci:Digitalis	0.42
snomed:Clinical_microbiology	nci:Clinical_Microbiology	0.56
snomed:Unilateral_simple_mastectomy	nci:Total_Mastectomy	0.72
snomed:Disorder_of_reproductive_system	nci:Reproductive_System_Disorder	0.53
snomed:Structure_of_parieto_occipital_fissure	nci:Parieto-occipital_Fissure	0.48
snomed:Econazole	nci:Econazole	0.61
snomed:Back_region	nci:Dorsum	0.02
snomed:Cortisone_preparation	nci:Cortisone	0.43
snomed:Actinomycotic_brain_abscess	nci:Actinomycotic_Cerebral_Abscess	0.76
snomed:Jugular_foramen_structure	nci:Jugular_Foramen	0.46
snomed:Closed_traumatic_dislocation_of_glenohumeral_joint	nci:Closed_Dislocation_of_Shoulder	0.35
snomed:Impaired_wound_healing	nci:Impaired_Healing	0.55
snomed:Pancreatic_duct_calculus	nci:Pancreatic_Duct_Stone	0.44
snomed:Tarsal_plate_structure	nci:Tarsal_Plate	0.47
snomed:Guanethidine_monosulfate	nci:Guanethidine_Monosulfate	0.64
snomed:Skin_ulcer	nci:Skin_Ulcer	0.55
snomed:Sinus_bradycardia	nci:Sinus_Bradycardia	0.68
snomed:Hidrocystoma	nci:Hidrocystoma	0.61
snomed:Sterility	nci:Aseptic	0.39
snomed:Obesity	nci:Obesity	0.54
snomed:Antidiarrhea_agent	nci:Antidiarrheal_Agent	0.69
snomed:Suffocating	nci:Asphyxia	0.18
snomed:Congenital_anomaly_of_cartilage	nci:Cartilage_Development_Disorder	0.08
snomed:Lymphocyte_antigen_CD36	nci:CSVTCG-Specific_TSP-1_Receptor	0.0
snomed:Gemcitabine	nci:Gemcitabine	0.59
snomed:Alcohol_abuse	nci:Alcohol_Abuse	0.56
snomed:Increased_bilirubin_level	nci:Elevated_Bilirubin	0.44
snomed:Hypohidrosis	nci:Hypohidrosis	0.61
snomed:Islet_cell_carcinoma	nci:Pancreatic_Endocrine_Carcinoma	0.59
snomed:Electrolyte_imbalance	nci:Electrolyte_Imbalance	0.55
snomed:Structure_of_lingual_papillae	nci:Papilla_of_the_Tongue	0.11
snomed:Patency	nci:Open	0.0
snomed:Parietal_bone_structure	nci:Parietal_Bone	0.45
snomed:Node_stage_N1a	nci:N1a_Stage_Finding	0.7
snomed:Pistachio_nut	nci:Pistachio	0.54
