Entity1	Entity2	Value
fma:Concept_name	nci:Conception	0.5833333333333333
fma:Part_of_relationship_value	nci:Septal_Cusp	0.4411764705882353
fma:Physical_anatomical_entity	nci:Molecular_Interaction	0.5384615384615384
fma:Non_physical_anatomical_entity_template	nci:Non-Resectable_Primary_Hepatic_Malignant_Neoplasm	0.4390243902439024
fma:Anatomical_structure	nci:Embryonic_Structure	0.7142857142857143
fma:Portion_of_body_substance	nci:Body_Surface	0.7142857142857143
fma:Subdivision_of_genital_system	nci:Embryonic_Urogenital_System	0.5862068965517242
fma:Subdivision_of_hemolymphoid_system	nci:Lymphocyte_Activation	0.4838709677419355
fma:Subdivision_of_nervous_system	nci:Nervous_System_Neoplasm	0.6896551724137931
fma:Immaterial_anatomical_entity	nci:Congenital_or_Acquired_Anatomic_Abnormality	0.4666666666666667
fma:Material_anatomical_entity	nci:Lateral_Infratentorial_Cistern	0.4666666666666667
fma:Cell	nci:Cell	1.0
fma:APUD_cell	nci:APUD_Cell	1.0
fma:Endo_epithelial_cell	nci:Endothelial_Cell	0.8
fma:Abdomen	nci:Abdominal_Cavity	1.0
fma:Subdivision_of_trunk_proper	nci:Skin_of_the_Trunk	0.4444444444444444
fma:Abdominal_aorta	nci:Abdominal_Aorta	1.0
fma:Segment_of_aorta	nci:Aortic_Segment	1.0
fma:Abdominal_cavity	nci:Abdominal_Cavity	1.0
fma:Body_cavity_subdivision	nci:Cavity	0.4782608695652174
fma:Abdominal_lymph_node	nci:Intra-abdominal_Lymph_Node	0.7692307692307692
fma:Deep_lymph_node	nci:Celiac_Lymph_Node	0.7058823529411764
fma:Abdominal_part_of_esophagus	nci:Abdominal_Esophagus	1.0
fma:Segment_of_esophagus	nci:Abdominal_Esophagus	0.55
fma:Abducens_nerve	nci:Abducens_Nerve	1.0
fma:Cranial_nerve	nci:Cranial_Nerve	1.0
fma:Abducens_nucleus	nci:Abducens_Nucleus	1.0
fma:Nucleus_of_cranial_nerve	nci:Cranial_Nerve_Neoplasm	0.76
fma:Abductor_pollicis_longus	nci:Abductor_Pollicis_Longus	1.0
fma:Deep_muscle_of_posterior_compartment_of_forearm	nci:First_Portion_of_the_Duodenum	0.3829787234042553
fma:Accessory_pancreatic_duct	nci:Ductus_Santorini	1.0
fma:Pancreatic_duct	nci:Pancreatic_Duct	1.0
fma:Acellular_anatomical_structure	nci:Microanatomy	0.6333333333333333
fma:Acellular_membrane	nci:Cellular_Membrane	0.9444444444444444
fma:Acetabular_part_of_hip_bone	nci:Acetabulum	1.0
fma:Zone_of_hip_bone	nci:Malignant_Bone_Neoplasm	0.6111111111111112
fma:Acidic_glycosphingolipid	nci:Dietary_Phospholipid	0.45833333333333337
fma:Glycosphingolipid	nci:Phospholipid	0.5882352941176471
fma:Acidophil_cell	nci:Acidophilic_Cell	1.0
fma:Chromophilic_cell	nci:Chromophobe_Cell	0.8125
fma:Acidophil_cell_of_pars_distalis_of_adenohypophysis	nci:Pituitary_Gland	0.6
fma:Chromophil_cell_of_pars_distalis_of_adenohypophysis	nci:Granular_Cell_Tumor_of_the_Neurohypophysis	0.5
fma:Acinar_cell	nci:Acinar_Cell	1.0
fma:General_anatomical_term	nci:Central_Canal	0.5357142857142857
fma:Acinus	nci:Anus	0.6666666666666667
fma:Lobular_organ_component	nci:Lobular_Breast_Carcinoma	0.5416666666666667
