Entity1	Entity2	Value
fma:Concept_name	nci:Gene_Structure	0.8788222
fma:Part_of_relationship_value	nci:Diagnostic_Therapeutic_and_Research_Equipment	0.90662014
fma:Physical_anatomical_entity	nci:Morphologic_Finding	0.9202169
fma:Non_physical_anatomical_entity_template	nci:Infratentorial_Brain	0.9219302
fma:Anatomical_structure	nci:Anatomical_Sciences	0.94541967
fma:Portion_of_body_substance	nci:Ground_Substance	0.9358614
fma:Subdivision_of_genital_system	nci:Female_Reproductive_System	0.9590075
fma:Subdivision_of_hemolymphoid_system	nci:Uvea	0.96125036
fma:Subdivision_of_nervous_system	nci:Nervous_System_Part	0.9523324
fma:Immaterial_anatomical_entity	nci:Juxtaglomerular_Apparatus	0.9418143
fma:Material_anatomical_entity	nci:Subcellular_Structure	0.93117476
fma:Cell	nci:Cell	0.9725272
fma:APUD_cell	nci:Pericyte	0.95772254
fma:Endo_epithelial_cell	nci:Myoepithelial_Cell	0.97121346
fma:Abdomen	nci:Abdominal_Cavity	0.9669604
fma:Subdivision_of_trunk_proper	nci:Gene_Structure	0.9086912
fma:Abdominal_aorta	nci:Abdominal_Aorta	0.9817417
fma:Segment_of_aorta	nci:Aortic_Segment	0.9867828
fma:Abdominal_cavity	nci:Quadrigeminal_Body	0.9590424
fma:Body_cavity_subdivision	nci:Body_Cavity	0.9522455
fma:Abdominal_lymph_node	nci:Lymph_Node	0.9731481
fma:Deep_lymph_node	nci:Thoracic_Lymph_Node	0.9566643
fma:Abdominal_part_of_esophagus	nci:Esophagus	0.96601295
fma:Segment_of_esophagus	nci:Esophagus	0.96259546
fma:Abducens_nerve	nci:Abducens_Nerve	0.9933872
fma:Cranial_nerve	nci:Cranial_Nerve	0.98212016
fma:Abducens_nucleus	nci:Abducens_Nucleus	0.9862867
fma:Nucleus_of_cranial_nerve	nci:Oculomotor_Nerve	0.9729049
fma:Abductor_pollicis_longus	nci:Abductor_Pollicis_Longus	0.9894899
fma:Deep_muscle_of_posterior_compartment_of_forearm	nci:Dorsal_Region_of_Foot	0.94020754
fma:Accessory_pancreatic_duct	nci:Ductus_Santorini	0.98189104
fma:Pancreatic_duct	nci:Pancreatic_Duct	0.979164
fma:Acellular_anatomical_structure	nci:Ependyma_and_Remnants_of_the_Central_Canal_of_the_Spinal_Cord	0.9368502
fma:Acellular_membrane	nci:Epithelial_Microvillus	0.9418964
fma:Acetabular_part_of_hip_bone	nci:Scaphoid_Bone	0.96428615
fma:Zone_of_hip_bone	nci:Central_Lobe	0.94921196
fma:Acidic_glycosphingolipid	nci:Arginine_Base	0.91135526
fma:Glycosphingolipid	nci:Glycoprotein	0.9377852
fma:Acidophil_cell	nci:Acidophilic_Cell	0.98329073
fma:Chromophilic_cell	nci:Trophoblastic_Cell	0.97575355
fma:Acidophil_cell_of_pars_distalis_of_adenohypophysis	nci:Uterine_Cervix_Condyloma_Acuminatum	0.9715805
fma:Chromophil_cell_of_pars_distalis_of_adenohypophysis	nci:Cutaneous_Pseudolymphoma	0.97178185
fma:Acinar_cell	nci:Acinar_Cell	0.98008394
fma:General_anatomical_term	nci:Anatomical_Sciences	0.9383229
fma:Acinus	nci:Pancreatic_Acinus	0.9534931
fma:Lobular_organ_component	nci:Convoluted_Tubule	0.9443675
fma:Acromioclavicular_joint	nci:Acromioclavicular_Joint	0.98440087
fma:Synovial_joint_of_pectoral_girdle	nci:Acromioclavicular_Joint	0.9621592
fma:Acromion	nci:Acromion	1.0000002
fma:Zone_of_scapula	nci:Lobus_Quadratus	0.9466847
fma:Actin	nci:Actin	0.99999994
fma:Motor_protein	nci:Regulatory_Protein	0.92541593
fma:Actin_binding_protein	nci:Actin-Binding_Protein	0.9720271
fma:Protein	nci:Protein	0.9744351
fma:Actin_filament	nci:Actin_Filament	0.9921768
fma:Cytoskeletal_filament	nci:Filament	0.9826312
fma:Actin_myofilament	nci:Tympanic_Membrane	0.95493877
fma:Adenine	nci:Thymine	0.95609033
fma:Purine	nci:Purine	1.0
fma:Adenohypophysis	nci:Posterior_Lobe_of_the_Pituitary_Gland	0.98203564
fma:Anatomical_lobe	nci:Bone_Tissue	0.948542
fma:Adherens_junction	nci:Anchoring_Junction	0.980235
fma:Anchoring_cell_junction	nci:Anchoring_Junction	0.9530254
fma:Adhesive_belt	nci:Renal_Capsule	0.9691502
fma:Cell_to_cell_adherens_junction	nci:Cell_to_Cell_Adhesion_Signaling_Pathway	0.9365741
fma:Adhesive_strip	nci:Axilla	0.95032233
fma:Adipocyte	nci:Adipocyte	0.9895953
fma:Connective_tissue_cell	nci:Connective_and_Soft_Tissue_Cell	0.9727987
fma:Adipose_tissue	nci:Adipocyte	0.96943986
fma:Dense_irregular_connective_tissue	nci:Dense_Connective_Tissue	0.9552616
fma:Adrenal_cortex	nci:Adrenal_Cortex	0.98096687
fma:Cortex	nci:Cortex	0.9747921
fma:Adrenal_gland	nci:Adrenal_Gland	0.9803454
fma:Corticomedullary_organ	nci:Adrenal_Medulla	0.9597825
fma:Adrenal_medulla	nci:Adrenal_Medulla	0.98802495
fma:Medulla	nci:Adrenal_Medulla	0.9581275
fma:Adrenocorticotropin	nci:Adrenocorticotropic_Hormone	0.98306614
