Entity1	Entity2	Value
fma:Concept_name	nci:Gene_Structure	0.9221712616433171
fma:Part_of_relationship_value	nci:Cell_Signaling_Process	0.9280949247602696
fma:Physical_anatomical_entity	nci:Experimental_Organism_Anatomical_Concepts	0.9601745416165807
fma:Non_physical_anatomical_entity_template	nci:Experimental_Organism_Anatomical_Concepts	0.9528752309076591
fma:Anatomical_structure	nci:Anatomical_Sciences	0.9648656578801295
fma:Portion_of_body_substance	nci:Body_Part	0.962032627443055
fma:Subdivision_of_genital_system	nci:Male_Reproductive_System	0.9748658926745177
fma:Subdivision_of_hemolymphoid_system	nci:Lymphangioma_with_Hemorrhage	0.965043609892804
fma:Subdivision_of_nervous_system	nci:Nervous_System_Part	0.973622973335843
fma:Immaterial_anatomical_entity	nci:Experimental_Organism_Anatomical_Concepts	0.9622232790349
fma:Material_anatomical_entity	nci:Experimental_Organism_Anatomical_Concepts	0.9615404710600525
fma:Cell	nci:Cell	0.9832155396789033
fma:APUD_cell	nci:APUD_Cell	0.9661974953180095
fma:Endo_epithelial_cell	nci:Epithelial_Cell	0.9768653267023757
fma:Abdomen	nci:Pelvic_Bone	0.9690581652525005
fma:Subdivision_of_trunk_proper	nci:Spinal_Cord_Tract	0.940538325281325
fma:Abdominal_aorta	nci:Abdominal_Aorta	0.9921870999315744
fma:Segment_of_aorta	nci:Aortic_Segment	0.9935927000216642
fma:Abdominal_cavity	nci:Bladder_Neck	0.9699122182785012
fma:Body_cavity_subdivision	nci:Body_Cavity	0.969442549832572
fma:Abdominal_lymph_node	nci:Lymph_Node	0.9867567584267201
fma:Deep_lymph_node	nci:Lymph_Node	0.9805754396739412
fma:Abdominal_part_of_esophagus	nci:Abdominal_Esophagus	0.9769797670963468
fma:Segment_of_esophagus	nci:Esophagus	0.9777096076117585
fma:Abducens_nerve	nci:Abducens_Nerve	0.9944874254293263
fma:Cranial_nerve	nci:Vagus_Nerve	0.9884106735277138
fma:Abducens_nucleus	nci:Abducens_Nucleus	0.9915541422590332
fma:Nucleus_of_cranial_nerve	nci:Oculomotor_Nerve	0.9803096972311935
fma:Abductor_pollicis_longus	nci:Abductor_Pollicis_Longus	0.996197783840785
fma:Deep_muscle_of_posterior_compartment_of_forearm	nci:Dorsal_Region_of_Foot	0.960727961831753
fma:Accessory_pancreatic_duct	nci:Ductus_Santorini	0.9829383219987113
fma:Pancreatic_duct	nci:Pancreatic_Vein	0.9883999467103082
fma:Acellular_anatomical_structure	nci:Angiodestructive_Pattern	0.9480612062910768
fma:Acellular_membrane	nci:Loose_Connective_Tissue	0.9577973559814049
fma:Acetabular_part_of_hip_bone	nci:Acetabulum	0.9744522100551172
fma:Zone_of_hip_bone	nci:Immature_Bone	0.9699590236817606
fma:Acidic_glycosphingolipid	nci:Glycosaminoglycan	0.9368152590591903
fma:Glycosphingolipid	nci:Glycosaminoglycan	0.9481436391169572
fma:Acidophil_cell	nci:Acidophilic_Cell	0.9904361279747804
fma:Chromophilic_cell	nci:Basophilic_Cell	0.9751712450761066
fma:Acidophil_cell_of_pars_distalis_of_adenohypophysis	nci:Adenohypophysial_Cell	0.9666207815514946
fma:Chromophil_cell_of_pars_distalis_of_adenohypophysis	nci:Adenohypophysial_Cell	0.9719131512760263
fma:Acinar_cell	nci:Acinar_Cell	0.9860264944022114
fma:General_anatomical_term	nci:Anatomical_Sciences	0.9557523471000364
fma:Acinus	nci:Pulmonary_Acinus	0.9746570751986443
fma:Lobular_organ_component	nci:Renal_Cortex	0.9591871990352424
fma:Acromioclavicular_joint	nci:Acromioclavicular_Joint	0.9909939033863518
fma:Synovial_joint_of_pectoral_girdle	nci:Joint_of_the_Pelvic_Girdle	0.9701979704617543
fma:Acromion	nci:Acromion	1.0000000000000009
fma:Zone_of_scapula	nci:Fossa_of_the_Helix	0.9675390921014868
fma:Actin	nci:Actin	1.0
fma:Motor_protein	nci:Regulatory_Protein	0.9564290455433534
fma:Actin_binding_protein	nci:Actin-Binding_Protein	0.9787727382037253
fma:Protein	nci:Protein	0.9793097018730037
fma:Actin_filament	nci:Actin_Filament	0.9961979636934424
fma:Cytoskeletal_filament	nci:Filament	0.9928125739248737
fma:Actin_myofilament	nci:Actin_Filament	0.9673285413579137
fma:Adenine	nci:Adenine	0.9780010054360709
fma:Purine	nci:Purine	0.9999999999999998
fma:Adenohypophysis	nci:Posterior_Lobe_of_the_Pituitary_Gland	0.9865895600065573
fma:Anatomical_lobe	nci:Body_Region	0.9667807661749781
fma:Adherens_junction	nci:Zonula_Adherens	0.9850471218912897
fma:Anchoring_cell_junction	nci:Anchoring_Junction	0.9703756774732971
fma:Adhesive_belt	nci:Zonula_Adherens	0.9798974960771791
fma:Cell_to_cell_adherens_junction	nci:Cell_to_Cell_Adhesion_Signaling_Pathway	0.9704621215763496
fma:Adhesive_strip	nci:Zonula_Adherens	0.9680402521788747
fma:Adipocyte	nci:Adipocyte	0.9943909298878647
fma:Connective_tissue_cell	nci:Connective_and_Soft_Tissue_Cell	0.9924115372486818
fma:Adipose_tissue	nci:Adipocyte	0.9814398835604072
fma:Dense_irregular_connective_tissue	nci:Arachnoid_Villus	0.958333154897005
fma:Adrenal_cortex	nci:Adrenal_Cortex	0.9882807512448398
fma:Cortex	nci:Cortex	0.9765000831688322
fma:Adrenal_gland	nci:Adrenal_Gland	0.9850750021342058
fma:Corticomedullary_organ	nci:Vestibulocochlear_Nerve	0.9588455276806728
fma:Adrenal_medulla	nci:Adrenal_Medulla	0.9898525329510587
fma:Medulla	nci:Adrenal_Medulla	0.9740561737420643
fma:Adrenocorticotropin	nci:Adrenocorticotropic_Hormone	0.9904695692910584
fma:Hormone	nci:Cone_Shape	0.9972622954135051
fma:Adventitia	nci:Tunica_Adventitia	0.9854982818158649
fma:Organ_component_layer	nci:Zonula_Adherens	0.9673572587909649
fma:Adventitial_cell	nci:Myoepithelial_Cell	0.97244164081528
fma:Afferent_neuron	nci:Sensory_Neuron	0.9887430418083691
fma:Neuron	nci:Neuron	0.9942304796451921
fma:Aggregated_lymphoid_follicle_of_small_intestine	nci:Spitz_Spindle_Cell_Nevus	0.9675201921809553
fma:Gut_associated_lymphoid_tissue	nci:Gut_Associated_Lymphoid_Tissue	0.9841548554978781
fma:Alanine	nci:Alanine	0.9847267842603605
fma:Amino_acid	nci:Amino_Acid	0.9858909394384456
fma:Alimentary_system	nci:Gastrointestinal_Tract	0.9799290918873169
fma:Organ_system	nci:Organ_System	0.9791387230188195
fma:Alpha_adrenergic_receptor	nci:Alpha_Adrenergic_Receptor	0.9999999999999997
fma:Catecholamine_receptor	nci:Dopamine_Receptor	0.9592273926057269
fma:Alpha_cell	nci:Bone_Cell	0.9683735624016075
fma:Alveolar_duct	nci:Alveolar_Duct	0.9928466224338904
fma:Alveolar_epithelial_cell	nci:Alveolar_Cell	0.9852168277342093
fma:Alveolar_macrophage	nci:Alveolar_Macrophage	0.9893489915787971
fma:Histiocyte	nci:Histiocyte	0.984696998812904
fma:Alveolar_sac	nci:Alveolar_Sac	0.989405197671439
fma:Alveolus	nci:Alveolus	0.979720198625212
fma:Alveus_of_hippocampus	nci:Uvea	0.9733919199924987
fma:Segment_of_white_matter_of_neuraxis	nci:Gray_Matter_of_the_Spinal_Cord	0.9544061938841119
fma:Amacrine_cell	nci:Amacrine_Cell	0.9962857762225125
fma:Neuron_of_retina	nci:Neural_Retina	0.9841199437976627
fma:Ameloblast	nci:Ameloblast	0.9938879305638887
fma:General_ecto_epithelial_cell	nci:Specialized_Epithelial_Cell	0.9701490126683396
fma:Biological_macromolecule	nci:Cytoplasmic_Matrix	0.92993771563145
fma:Amnion	nci:Amnion	0.9895455150451729
fma:Extra_embryonic_structure	nci:Extraembryonic_Structure	0.9805605267588423
fma:Amniotic_cavity	nci:Amniotic_Cavity	1.0000000000000007
fma:Embryonic_space	nci:Embryonic_Tissue	0.9669476603719868
fma:Amphiarthrosis	nci:Amphiarthrosis	0.981212699976623
fma:Ampullary_crest_of_semicircular_duct	nci:Ampullary_Crest	0.9908953335083461
fma:Organ_crest	nci:Neural_Crest	0.9450399361158256
fma:Amygdala	nci:Amygdaloid_Body	0.9938952749289628
fma:Basal_ganglion_of_telencephalon	nci:Cerebellopontine_Angle_Primitive_Neuroectodermal_Tumor	0.9592413105328486
fma:Anal_canal	nci:Anal_Canal	0.9662671188524088
fma:Organ_with_organ_cavity	nci:Liver	0.9413340451985873
fma:Anal_column	nci:Anal_Column	0.9631674345095514
fma:Zone_of_anal_canal_viewed_anatomically	nci:Lymph_Node_by_Anatomic_Site	0.9277062210573804
fma:Anal_gland	nci:Anal_Gland	1.0000000000000002
fma:Organ_component_gland	nci:Gland	0.9724173179420421
fma:Anal_part_of_perineum	nci:Anal_Region	0.9722060780094995
fma:Subdivision_of_perineum	nci:Perineum	0.982065587836738
fma:Anal_sinus	nci:Anal_Sinus	0.9787295792771672
fma:Organ_cavity_subdivision	nci:Cavity	0.9350083604736548
fma:Anastomosis	nci:Arteriovenous_Shunt	0.9550817639749045
fma:Zone_of_continuity	nci:Central_Canal	0.9408559523398289
fma:Anatomical_boundary_entity	nci:Experimental_Organism_Anatomical_Concepts	0.9535089145600728
fma:Anatomical_cavity	nci:Anatomic_Sites	0.969053737166508
fma:Anatomical_space	nci:Anatomic_Sites	0.9576976493900692
fma:Anatomical_cluster	nci:Anatomical_Sciences	0.9749691160722489
fma:Anatomical_compartment	nci:Anatomical_Sciences	0.9750376433829127
fma:Anatomical_compartment_space	nci:Body_Region	0.9531570050974499
fma:Anatomical_conduit	nci:Experimental_Organism_Anatomical_Concepts	0.9483784104949926
fma:Anatomical_conduit_space	nci:Experimental_Organism_Anatomical_Concepts	0.9477617833190541
fma:Anatomical_coordinate	nci:Anatomical_Sciences	0.9609038980840097
fma:Anatomical_location	nci:Anatomic_Sites	0.9693631063636603
fma:Anatomical_entity	nci:Anatomical_Sciences	0.9675631178912276
fma:Anatomical_entity_template	nci:Experimental_Organism_Anatomical_Concepts	0.9530965739118931
fma:Standard_FMA_class	nci:Therapeutic_Gonadorelin	0.9445041204773066
fma:Anatomical_fold	nci:Anatomical_Sciences	0.9666543714890078
fma:Region_of_organ_component	nci:Body_Region	0.9525936373478172
