Entity1	Entity2	Value
fma:Artery	nci:Anatomy_Kind	0.9163681
fma:Nerve	nci:Biological_Process_Kind	0.91822135
fma:Hair_shaft	nci:Chemicals_and_Drugs_Kind	0.88332856
fma:Structural_gene	nci:Gene_Product_Kind	0.93151236
fma:Cardinal_cell_part	nci:Abnormal_Cell_Kind	0.9482357
fma:Organ_component_layer	nci:Findings_and_Disorders_Kind	0.8636136
fma:Nerve	nci:Molecular_Abnormality_Kind	0.9215141
fma:Attribute_entity	nci:Properties_or_Attributes_Kind	0.8874781
fma:Structural_gene	nci:Gene_Kind	0.9538699
fma:Cell	nci:Organism_Kind	0.912101
fma:Set_of_dopaminergic_cells	nci:Diagnostic_and_Prognostic_Factors_Kind	0.89863074
fma:Tract_of_neuraxis	nci:Pathway_Kind	0.9066755
fma:Thyrotroph	nci:AIDS	0.94653904
fma:Myeloid_stem_cell	nci:T-Cell_Immunodeficiency	0.94032496
fma:Vitreous_chamber_of_eyeball	nci:AKT_Signaling_Pathway	0.9284651
fma:Musculature	nci:Signaling_Pathways	0.90965164
fma:Mitochondrial_ribonucleic_acid	nci:ALK_Pathway	0.946054
fma:Portion_of_neural_tissue	nci:Cell_Differentiation_or_Development_Pathway	0.91489315
fma:Mitochondrial_deoxyribonucleic_acid	nci:APC_Tumor-Suppressor_Gene_Inactivation	0.93952096
fma:Segment_of_metencephalon	nci:Tumor-Suppressor_Gene_Inactivation	0.92076594
fma:Goblet_cell	nci:APUD_Cell	0.96669436
fma:Neural_crest_cell	nci:Neural_Crest-Derived_Cell	0.9663724
fma:Trunk	nci:Abdominal	0.95296323
fma:Anatomical_valve	nci:Anatomy_Modifier	0.90532976
fma:Abdominal_aorta	nci:Abdominal_Aorta	0.9817417
fma:Segment_of_aorta	nci:Aortic_Segment	0.9867828
fma:Abdomen	nci:Abdominal_Cavity	0.9669604
fma:Descending_thoracic_aorta	nci:Descending_Aorta	0.9720367
fma:Abdominal_aorta	nci:Abdominal_Aorta_Branch	0.97803396
fma:Artery	nci:Artery	0.94336784
fma:Mesothelial_cell_of_peritoneum	nci:Abdominal_Carcinomatosis	0.9582479
fma:Chromophobe_cell	nci:Carcinomatosis	0.9538738
fma:Interstitial_cell_of_pineal_gland	nci:Metastatic_Neoplasm_to_the_Peritoneum	0.92140496
fma:Organ_cavity	nci:Cavity	0.9240749
fma:Abdominal_part_of_esophagus	nci:Abdominal_Esophagus	0.95925736
fma:Cardinal_body_part	nci:Body_Region	0.9532721
fma:Abdominal_part_of_esophagus	nci:Esophagus	0.96601295
fma:Abdominal_cavity	nci:Abdominal_Mass	0.93335235
fma:Stroma	nci:Mass	0.9174169
fma:Muscle_of_abdomen	nci:Abdominal_Muscle	0.98560834
fma:Musculature	nci:Muscle	0.9568073
fma:Muscle_of_abdomen	nci:Abdominal_Pain	0.8902493
fma:Physical_state	nci:Pain	0.83845174
fma:Skin_of_abdomen	nci:Abdominal_Skin	0.9750751
fma:Skin_of_trunk	nci:Skin_of_the_Trunk	0.9764546
fma:Abducens_nerve	nci:Abducens_Nerve	0.9933872
fma:Cranial_nerve	nci:Cranial_Nerve	0.98212016
fma:Amphiarthrosis	nci:Abducens_Nerve_Disorder	0.9729476
fma:Parathyroid_gland	nci:Cranial_Nerve_Disorder	0.9469393
fma:Type_I_cell_of_carotid_body	nci:Abducens_Nerve_Neoplasm	0.9696897
fma:Cranial_parasympathetic_ganglion	nci:Cranial_Nerve_Neoplasm	0.96583194
fma:Abducens_nucleus	nci:Abducens_Nucleus	0.9862867
fma:Nucleus_of_brain	nci:Brain_Nucleus	0.97651047
fma:Pons	nci:Pons_Varolii	0.99199194
fma:Coracobrachialis	nci:Abducent_Nerve_Paralysis	0.9608653
fma:Coracobrachialis	nci:Cranial_Nerve_Paralysis	0.9478433
fma:Abductor_pollicis_longus	nci:Abductor_Pollicis_Longus	0.9894899
fma:Segment_of_brain	nci:Abnormal_Blood_and_Hematology_Test_Result	0.9065971
fma:Segment_of_brain	nci:Abnormal_Laboratory_Test	0.89699745
fma:Nuclear_complex_of_neuraxis	nci:Abnormal_Bone_Marrow_Test_Result	0.90702146
fma:Segment_of_brain	nci:Abnormal_Hematology_Test_Result	0.9065093
fma:Giant_cell	nci:Abnormal_Cell	0.94479406
fma:Subdivision_of_hepatic_artery_proper	nci:EO_Anatomy_Kind	0.92423445
fma:Portion_of_tissue	nci:Equipment_Kind	0.907035
fma:Messenger_ribonucleic_acid	nci:NCI_Kind	0.9412267
fma:Nuclear_matrix	nci:Abnormal_Cells_Present	0.90316564
fma:Structural_anatomical_relation	nci:Morphologic_Finding	0.9457115
fma:Irregular_connective_tissue	nci:Abnormal_Connective_and_Soft_Tissue_Cell	0.9539397
fma:Intermediate_trophoblast_cell	nci:Abnormal_Cytotrophoblastic_Cell	0.96035105
fma:Intermediate_trophoblast_cell	nci:Abnormal_Trophoblastic_Cell	0.9656911
fma:Glandular_cell_of_large_intestine	nci:Abnormal_Endothelial_Cell	0.9493333
fma:Specialized_epithelial_cell	nci:Abnormal_Epithelial_Cell	0.9552463
fma:Primordial_germ_cell	nci:Abnormal_Germ_Cell	0.94088006
fma:Clear_chief_cell_of_parathyroid_cell	nci:Abnormal_Glandular_Cell	0.9518969
fma:Segment_of_brain	nci:Hematopoietic_System_Finding	0.9438509
fma:Lymphoid_nodule_of_spleen	nci:Abnormal_Hematopoietic_Cell	0.9444727
fma:Nuclear_complex_of_neuraxis	nci:Abnormal_Immunology_Test_Result	0.9058493
fma:Intermediate_trophoblast_cell	nci:Abnormal_Intermediate_Type_Trophoblastic_Cell	0.9799925
fma:Parafollicular_cell_of_thyroid_gland	nci:Abnormal_Keratinocyte	0.95483536
fma:Squamous_cell_of_ectocervix	nci:Abnormal_Squamous_Cell	0.964851
fma:Set_of_renal_columns	nci:Lab_Finding	0.9216378
fma:Neutrophil	nci:Abnormal_Lymphocyte	0.943625
fma:Macrophage	nci:Abnormal_Macrophage	0.9412257
fma:Cytotrophoblast	nci:Abnormal_Mesothelial_Cell	0.9537705
fma:Specialized_epithelial_cell	nci:Abnormal_Myoepithelial_Cell	0.9563017
fma:Intermediate_trophoblast_cell	nci:Abnormal_Syncytiotrophoblastic_Cell	0.9610136
fma:Striated_muscle_tissue	nci:Abnormal_Tissue_Present	0.89619666
fma:Transitional_cell	nci:Abnormal_Transitional_Cell	0.9482294
fma:Cortex_of_kidney	nci:Abnormal_Urine_Test_Result	0.9033684
fma:Lymphoid_nodule_of_spleen	nci:Absence_of_Invasion	0.8890858
fma:Structural_anatomical_relation	nci:Absence_of_Invasion_or_Limited_Invasion_Present	0.9041282
fma:Region_of_prostatic_stroma	nci:Absence_of_Stromal_Invasion	0.91716397
fma:Subdivision_of_hemolymphoid_system	nci:Absence_of_a_Hormonal_Syndrome	0.8910681
fma:Renal_column	nci:Endocrine_System_Finding	0.956699
fma:Osteoblast	nci:Acantholysis	0.9558978
fma:Parathyroid_gland	nci:Acantholytic_Acanthoma	0.9491232
fma:Acromion	nci:Acanthoma	0.9619456
fma:Parafollicular_cell_of_thyroid_gland	nci:Skin_Nodule	0.9632177
fma:Xiphoid_process	nci:Skin_Papules	0.9587742
fma:Keratinized_cell_of_epidermis	nci:Keratinocyte	0.9697025
fma:Keratinized_squamous_cell_of_esophagus	nci:Acantholytic_Squamous_Cell_Skin_Carcinoma	0.965952
fma:Keratinized_squamous_cell_of_esophagus	nci:Keratinizing_Squamous_Cell_Carcinoma	0.967672
fma:Keratinized_squamous_cell_of_esophagus	nci:Skin_Squamous_Cell_Carcinoma	0.97747165
fma:Renal_fascia	nci:Skin_Plaques	0.9502906
fma:Skin_of_knee	nci:Skin_Ulcer	0.93000734
fma:Keratinized_squamous_cell_of_esophagus	nci:Benign_Epithelial_Skin_Neoplasm	0.96685165
fma:Infundibulum_of_hair_follicle	nci:Hair_Follicle_Infundibulum	0.9755025
fma:Mesothelial_cell	nci:Neoplastic_Keratinocyte	0.96750146
fma:Amphiarthrosis	nci:Acanthosis	0.9655712
