Entity1	Entity2	Value
fma:Organ_component_layer	nci:Anatomy_Kind	0.9365410843942192
fma:Process_of_organ	nci:Biological_Process_Kind	0.945293932171516
fma:Set_of_cranial_nerves	nci:Chemicals_and_Drugs_Kind	0.9257924985818011
fma:Structural_gene	nci:Gene_Product_Kind	0.9425202056512894
fma:Cardinal_cell_part	nci:Abnormal_Cell_Kind	0.958507273812949
fma:Organ_component_layer	nci:Findings_and_Disorders_Kind	0.9001158692619757
fma:Skeletal_muscle_cell	nci:Molecular_Abnormality_Kind	0.9414425487601938
fma:Attribute_entity	nci:Properties_or_Attributes_Kind	0.9269075164146843
fma:Structural_gene	nci:Gene_Kind	0.9593647608446606
fma:Cell	nci:Organism_Kind	0.9388347886895548
fma:Set_of_dopaminergic_cells	nci:Diagnostic_and_Prognostic_Factors_Kind	0.9109011730542201
fma:Organ_component_layer	nci:Pathway_Kind	0.92587475222787
fma:Antihemophilic_globulin	nci:AIDS	0.9490854389178655
fma:Myeloid_stem_cell	nci:T-Cell_Immunodeficiency	0.9413114494640317
fma:Nerve_fiber	nci:AKT_Signaling_Pathway	0.9400219704410726
fma:Sensory_receptor	nci:Signaling_Pathways	0.9327753851515997
fma:Mitochondrial_ribonucleic_acid	nci:ALK_Pathway	0.962941562426323
fma:Portion_of_neural_tissue	nci:Cell_Differentiation_or_Development_Pathway	0.9325079857189724
fma:Atrioventricular_node	nci:APC_Tumor-Suppressor_Gene_Inactivation	0.9555473431297553
fma:Thyrotroph	nci:Tumor-Suppressor_Gene_Inactivation	0.9414604168416444
fma:APUD_cell	nci:APUD_Cell	0.9661974953180095
fma:Neural_crest_cell	nci:Neural_Crest-Derived_Cell	0.9763018103605735
fma:Trunk	nci:Abdominal	0.9609897488133287
fma:Organ_component_layer	nci:Anatomy_Modifier	0.9336761058883715
fma:Abdominal_aorta	nci:Abdominal_Aorta	0.9921870999315744
fma:Segment_of_aorta	nci:Aortic_Segment	0.9935927000216642
