Entity1	Entity2	Value
fma:Concept_name	snomed:Digit_structure	0.8627094030380249
fma:Part_of_relationship_value	snomed:Linkage_concept	0.9174912571907043
fma:Physical_anatomical_entity	snomed:Physical_anatomical_entity	1.0
fma:Non_physical_anatomical_entity_template	snomed:Physical_anatomical_entity	0.9282644987106323
fma:Anatomical_structure	snomed:Anatomical_structure	0.960284411907196
fma:Portion_of_body_substance	snomed:Body_substance	0.976739764213562
fma:Subdivision_of_genital_system	snomed:Genital_system_agent	0.968269407749176
fma:Subdivision_of_hemolymphoid_system	snomed:Renal_collecting_system_structure	0.9596800804138184
fma:Subdivision_of_nervous_system	snomed:Peripheral_nervous_system_structure	0.9563851356506348
fma:Immaterial_anatomical_entity	snomed:Physical_anatomical_entity	0.9429299831390381
fma:Material_anatomical_entity	snomed:Physical_anatomical_entity	0.9742752909660339
fma:Cell	snomed:Gonad_tissue	0.9482457637786865
fma:Endo_epithelial_cell	snomed:Myoepithelial_cell	0.974956214427948
fma:Abdomen	snomed:Pelvic_floor_structure	0.9613842368125916
fma:Subdivision_of_trunk_proper	snomed:Structure_of_body_compartment	0.9207590818405151
fma:Abdominal_aorta	snomed:Aortic_sac	0.9616468548774719
fma:Segment_of_aorta	snomed:Branch_of_thoracic_aorta	0.9536838531494141
fma:Abdominal_cavity	snomed:Neck_of_pancreas	0.9579872488975525
fma:Body_cavity_subdivision	snomed:Body_cavity_structure	0.962902307510376
fma:Abdominal_lymph_node	snomed:Lymph_node_of_stomach	0.9699496626853943
fma:Deep_lymph_node	snomed:Deep_cervical_lymph_node	0.9770104289054871
fma:Abdominal_part_of_esophagus	snomed:Appendix_of_testis	0.9599014520645142
fma:Segment_of_esophagus	snomed:Procedure_on_salivary_gland	0.9640232920646667
fma:Abducens_nerve	snomed:Abducens_nerve_structure	0.9719089269638062
fma:Cranial_nerve	snomed:Cranial_nerve_root	0.9678001403808594
fma:Abducens_nucleus	snomed:Abducens_nerve_structure	0.9741254448890686
fma:Nucleus_of_cranial_nerve	snomed:Cranial_nerve_root	0.9615532159805298
fma:Abductor_pollicis_longus	snomed:Region_of_scalp	0.9508181810379028
fma:Deep_muscle_of_posterior_compartment_of_forearm	snomed:Deep_extensor_tendon_of_forearm	0.9656598567962646
fma:Accessory_pancreatic_duct	snomed:Accessory_salivary_duct	0.9669381380081177
fma:Pancreatic_duct	snomed:Pancreatic_artery	0.9772428870201111
fma:Acellular_anatomical_structure	snomed:Intercellular_anatomical_structure	0.972475528717041
fma:Acellular_membrane	snomed:Trigonal_structure	0.945918083190918
fma:Acetabular_part_of_hip_bone	snomed:Habenula_structure	0.9564658403396606
fma:Zone_of_hip_bone	snomed:Thoracolumbar_region_of_spine_structure	0.9577279686927795
fma:Acidic_glycosphingolipid	snomed:Glycolipid	0.9034033417701721
fma:Glycosphingolipid	snomed:Glycolipid	0.9622994661331177
fma:Acidophil_cell_of_pars_distalis_of_adenohypophysis	snomed:Acinus_of_parotid_gland	0.9627920389175415
fma:Chromophil_cell_of_pars_distalis_of_adenohypophysis	snomed:Kultschitzky_cell_of_bronchiole	0.9590398073196411
fma:General_anatomical_term	snomed:Anatomical_feature	0.9372297525405884
fma:Acinus	snomed:Ileal_submucosa	0.9530622363090515
fma:Lobular_organ_component	snomed:Entire_exocrine_gland_organ_component	0.9472192525863647
fma:Acromioclavicular_joint	snomed:Scapulothoracic_joint	0.9663763642311096
fma:Synovial_joint_of_pectoral_girdle	snomed:Scapulothoracic_joint	0.9633464813232422
fma:Acromion	snomed:Syndactyly	0.9574657082557678
fma:Zone_of_scapula	snomed:Popliteal_region_structure	0.9375947117805481
fma:Actin	snomed:Actin	0.9999999403953552
fma:Motor_protein	snomed:Structural_protein	0.8953635692596436
fma:Actin_binding_protein	snomed:Actin_binding_protein	1.0000001192092896
fma:Protein	snomed:Protein	0.9999999403953552
