Entity1	Entity2	Value
fma:Concept_name	snomed:Digit_structure	0.9069662753518168
fma:Part_of_relationship_value	snomed:Linkage_concept	0.9351228752167695
fma:Physical_anatomical_entity	snomed:Physical_anatomical_entity	0.9999999999999993
fma:Non_physical_anatomical_entity_template	snomed:Physical_anatomical_entity	0.9696502090826915
fma:Anatomical_structure	snomed:Anatomical_structure	0.9721423532301652
fma:Portion_of_body_substance	snomed:Body_substance	0.9818444661160778
fma:Subdivision_of_genital_system	snomed:Genital_system_agent	0.9838310550708596
fma:Subdivision_of_hemolymphoid_system	snomed:Hemorrhoid_operation	0.9562240103563845
fma:Subdivision_of_nervous_system	snomed:Peripheral_nervous_system_structure	0.9777115382856635
fma:Immaterial_anatomical_entity	snomed:Physical_anatomical_entity	0.9683373042500688
fma:Material_anatomical_entity	snomed:Physical_anatomical_entity	0.9879299222471813
fma:Cell	snomed:Abnormal_cell	0.9624539063435179
fma:Endo_epithelial_cell	snomed:Epithelial_cell	0.9792362702884287
fma:Abdomen	snomed:Pelvic_floor_structure	0.9712667671760463
fma:Subdivision_of_trunk_proper	snomed:Skin_of_part_of_ring_finger	0.9564009776208087
fma:Abdominal_aorta	snomed:Abdominal_aorta_structure	0.9812569567488896
fma:Segment_of_aorta	snomed:Aorta_part	0.9725272418923027
fma:Abdominal_cavity	snomed:Head_of_proximal_phalanx_of_finger	0.9671108884799047
fma:Body_cavity_subdivision	snomed:Body_cavity_route	0.9779612146527786
fma:Abdominal_lymph_node	snomed:Abdominal_lymph_node_group	0.9879421760532879
fma:Deep_lymph_node	snomed:Lymph_node_group	0.9774682227003015
fma:Abdominal_part_of_esophagus	snomed:Abdominal_esophagus_structure	0.9770576788458939
fma:Segment_of_esophagus	snomed:Abdominal_esophagus_structure	0.9821831842724459
fma:Abducens_nerve	snomed:Abducens_nerve_structure	0.986189009416087
fma:Cranial_nerve	snomed:Cranial_nerve_root	0.9813827540168379
fma:Abducens_nucleus	snomed:Abducens_nerve_structure	0.9879251805088176
fma:Nucleus_of_cranial_nerve	snomed:Midbrain_cranial_nerve_nucleus	0.973464061700334
fma:Abductor_pollicis_longus	snomed:Region_of_scalp	0.9820713169012305
fma:Deep_muscle_of_posterior_compartment_of_forearm	snomed:Structure_of_deep_flexor_muscle_of_forearm	0.9762766867218222
fma:Accessory_pancreatic_duct	snomed:Accessory_pancreas	0.9689464985138903
fma:Pancreatic_duct	snomed:Pancreatic_duct_structure	0.9891869815028913
fma:Acellular_anatomical_structure	snomed:Intercellular_anatomical_structure	0.982461178299887
fma:Acellular_membrane	snomed:Trigonal_structure	0.9646329409243032
fma:Acetabular_part_of_hip_bone	snomed:Periarticular_bone_structure_of_hip_joint	0.9678558938934133
fma:Zone_of_hip_bone	snomed:Bone_structure_of_malleus	0.970395583988802
fma:Acidic_glycosphingolipid	snomed:Glycolipid	0.9430004154823676
fma:Glycosphingolipid	snomed:Glycolipid	0.9549188843535732
fma:Acidophil_cell_of_pars_distalis_of_adenohypophysis	snomed:Fibromuscular_septum_of_prostate	0.9669751617684702
fma:Chromophil_cell_of_pars_distalis_of_adenohypophysis	snomed:Adenohypophysis_structure	0.9552782613130009
fma:General_anatomical_term	snomed:Anatomical_feature	0.9684269850054967
fma:Acinus	snomed:Dural_sinus	0.9633962066821268
fma:Lobular_organ_component	snomed:Entire_gland_organ_component	0.9577313226960326
fma:Acromioclavicular_joint	snomed:Acromioclavicular_joint_structure	0.9820374565979316
fma:Synovial_joint_of_pectoral_girdle	snomed:Head_of_distal_phalanx_of_little_finger	0.9612014865071924
fma:Acromion	snomed:Repair_of_acromion	0.9637651154850574
fma:Zone_of_scapula	snomed:Entire_scapular_region	0.9728015771604687
fma:Actin	snomed:Actin	1.0
fma:Motor_protein	snomed:Protein_hormone	0.9307991189124163
fma:Actin_binding_protein	snomed:Actin_binding_protein	1.0
fma:Protein	snomed:Protein	1.0
fma:Actin_filament	snomed:Neurofilament_protein	0.9590027356111572
fma:Cytoskeletal_filament	snomed:Cytoplasmic_filaments	0.9597641834280763
fma:Adenine	snomed:Adenine	0.9999999999999988
fma:Purine	snomed:Purine	0.9999999999999998
fma:Adenohypophysis	snomed:Hepatic_lacunae_structure	0.9653478758941951
fma:Anatomical_lobe	snomed:Anatomical_junction	0.960290126204307
fma:Adherens_junction	snomed:Columella_structure	0.9596468778937324
fma:Anchoring_cell_junction	snomed:Cell_adhesion_specialization	0.9588342053825804
fma:Adhesive_belt	snomed:Adipose_tissue	0.9682301891059902
fma:Cell_to_cell_adherens_junction	snomed:Cell_adhesion_specialization	0.9290903855758159
fma:Adipocyte	snomed:Adipocyte	0.9835601046243423
fma:Connective_tissue_cell	snomed:Connective_tissue_of_breast	0.9744030091981862
fma:Adipose_tissue	snomed:Adipose_tissue	0.9834061925604438
fma:Dense_irregular_connective_tissue	snomed:Connective_tissue_structure_of_testis	0.9602285508981069
fma:Adrenal_cortex	snomed:Adrenal_medulla_structure	0.9799502170025665
fma:Cortex	snomed:Brain_region	0.9510783404434533
fma:Adrenal_gland	snomed:Accessory_adrenal_gland	0.9788184741010946
fma:Corticomedullary_organ	snomed:Medullary_cranial_nerve_nucleus	0.9573642675414715
fma:Adrenal_medulla	snomed:Adrenal_medulla_structure	0.9841718139878588
fma:Medulla	snomed:Adrenal_medulla_structure	0.9619807294712596
fma:Adrenocorticotropin	snomed:Epoophoron	0.9610012286266073
fma:Hormone	snomed:Hormone	0.9999999999999993
fma:Adventitia	snomed:Tunica_adventitia	0.9854982818158649
fma:Organ_component_layer	snomed:Liver_segment	0.9645941847555106
fma:Adventitial_cell	snomed:Endothelial_cell	0.9636087957757354
fma:Neuron	snomed:Neuron	0.9819403820825653
fma:Aggregated_lymphoid_follicle_of_small_intestine	snomed:Structure_of_aggregated_lymphoid_follicle_of_small_intestine	0.9613117798634753
fma:Gut_associated_lymphoid_tissue	snomed:Colonic_solitary_lymphoid_nodule	0.9684464182849924
fma:Alanine	snomed:Alanine	0.9999999999999993
fma:Amino_acid	snomed:Amino_acid	0.9999999999999994
fma:Alimentary_system	snomed:Digestive_system_fluid	0.9713902108575204
fma:Organ_system	snomed:Membrane_organ_structure	0.9473149980873994
fma:Alpha_adrenergic_receptor	snomed:Tricuspid_valve_operation	0.9917167444573627
fma:Catecholamine_receptor	snomed:Catecholamine_receptor	1.0
fma:Alpha_cell	snomed:Stem_cell	0.9642708158329976
fma:Alveolar_epithelial_cell	snomed:Pneumocyte	0.9817665306375368
fma:Alveolar_macrophage	snomed:Alveolar_macrophage	1.0000000000000009
fma:Histiocyte	snomed:Reticulocyte	0.9662201019412384
fma:Alveolar_sac	snomed:Alveolar_ridge_structure	0.9710729000220012
fma:Alveolus	snomed:Leucine	0.9527542299204422
fma:Alveus_of_hippocampus	snomed:Operation_on_trachea	0.9627175161449851
fma:Segment_of_white_matter_of_neuraxis	snomed:Structure_of_white_matter_of_insula	0.964416781069675
fma:Amacrine_cell	snomed:Amacrine_cells_of_retina	0.9816665957986893
fma:Neuron_of_retina	snomed:Retinal_structure	0.9770617220986432
fma:General_ecto_epithelial_cell	snomed:Columnar_epithelium	0.9676057318672083
fma:Biological_macromolecule	snomed:Extracellular_macromolecule_aggregate_alteration	0.9365304579054167
fma:Amnion	snomed:Anagen_hair	0.961634956512879
fma:Extra_embryonic_structure	snomed:Extra_embryonic_structure	1.000000000000001
fma:Amniotic_cavity	snomed:Structure_of_amniotic_cavity	0.9572224899697305
fma:Embryonic_space	snomed:Embryonic_structure	0.9643797087428235
fma:Amphiarthrosis	snomed:Arthropathy	0.9548557382061204
fma:Ampullary_crest_of_semicircular_duct	snomed:Ampulla_of_semicircular_canal	0.9764107917064188
fma:Organ_crest	snomed:Neural_crest	0.9450399361158256
fma:Amygdala	snomed:Amygdaloid_structure	0.9891804717035835
fma:Basal_ganglion_of_telencephalon	snomed:Structure_of_telencephalon	0.9663795555492226
fma:Anal_canal	snomed:Anal_canal_structure	0.9623652234888048
fma:Organ_with_organ_cavity	snomed:Organ_cavity_structure	0.9467864634616292
fma:Anal_column	snomed:Ito_cell	0.9482282581799956
fma:Zone_of_anal_canal_viewed_anatomically	snomed:Border_external_anatomical_feature	0.9397990085554865
fma:Anal_gland	snomed:Cutaneous_gland	0.9680190837781766
fma:Organ_component_gland	snomed:Eccrine_gland_structure	0.9675497047671863
fma:Anal_part_of_perineum	snomed:Anal_triangle	0.9744402935817549
fma:Subdivision_of_perineum	snomed:Perineurium_structure	0.979177988880897
fma:Anal_sinus	snomed:Anal_triangle	0.9643980508577883
fma:Organ_cavity_subdivision	snomed:Organ_cavity_structure	0.9747295631057228
fma:Anastomosis	snomed:Arterial_anastomosis	0.9809628565502861
fma:Zone_of_continuity	snomed:Segment_structure	0.9379260998214609
fma:Anatomical_boundary_entity	snomed:Anatomical_spatial_entity	0.9640926179937888
fma:Anatomical_cavity	snomed:Anatomical_structure	0.9722973662157217
fma:Anatomical_space	snomed:Anatomical_orifice	0.9608128213768925
fma:Anatomical_cluster	snomed:Anatomical_feature	0.984578711653769
fma:Anatomical_compartment	snomed:Anatomical_landmark	0.9766973148762673
fma:Anatomical_compartment_space	snomed:Anatomical_junction	0.9603064538659143
fma:Anatomical_conduit	snomed:Anatomical_line	0.9723251322268184
fma:Anatomical_conduit_space	snomed:External_anatomical_feature	0.9590551761634405
fma:Anatomical_coordinate	snomed:Anatomical_landmark	0.9806271142556555
fma:Anatomical_location	snomed:Anatomical_position	0.9655611208609719
fma:Anatomical_entity	snomed:Anatomical_feature	0.9869785910230251
fma:Anatomical_entity_template	snomed:Physical_anatomical_entity	0.9682431890005678
fma:Standard_FMA_class	snomed:Entire_basis_modioli	0.9288218834466756
fma:Anatomical_fold	snomed:Anatomical_landmark	0.9853236801988401
fma:Region_of_organ_component	snomed:Entire_gland_organ_component	0.9641152455322378
fma:Anatomical_junction	snomed:Anatomical_junction	1.0000000000000002
fma:Anatomical_line	snomed:Anatomical_line	1.0000000000000002
fma:Anatomical_point	snomed:Anatomical_feature	0.9750577071442502
fma:Anatomical_surface	snomed:Anatomical_landmark	0.9715471186072024
fma:Cardinal_cell_part	snomed:Specialized_cell_structure	0.9692393301386425
fma:Nucleated_cell	snomed:Nucleated_red_blood_cell	0.9764292142381932
fma:Organ	snomed:Abdominal	0.9368984033376163
fma:Organ_system_subdivision	snomed:Skeletal_system_subdivision	0.9605253026163245
fma:Subdivision_of_cardinal_body_part	snomed:Upper_body_part_structure	0.9565470836775315
fma:Subdivision_of_head	snomed:Region_of_head	0.9742004988205704
fma:Trunk_of_systemic_vein	snomed:Head_of_phalanx	0.9751311706291456
fma:Anatomical_line_of_liver	snomed:Anatomical_line	0.964013899541501
fma:Anatomical_line_of_tooth	snomed:Axillary_line_of_trunk	0.9610308868280852
fma:Spatial_association_relation	snomed:Temporal_context_value	0.954656608450518
fma:Anatomical_orifice	snomed:Anatomical_orifice	0.9863987546683992
fma:Anatomical_plane	snomed:Anatomical_reference_plane	0.9736813541336097
fma:Anatomical_relation	snomed:Anatomical_feature	0.983034469781133
fma:Non_physical_anatomical_entity	snomed:Physical_anatomical_entity	0.9698603666483393
fma:Anatomical_set	snomed:Anatomical_landmark	0.9827020582179323
fma:Anatomical_valve	snomed:Anatomical_line	0.9537399230691433
fma:Organ_component	snomed:Organ_part	0.9517048441028013
fma:Anchored_anatomical_plane	snomed:Groove_external_anatomical_feature	0.9641488938186987
fma:Intercellular_junction	snomed:Intercellular_space	0.9608362030635726
fma:Androgen	snomed:Androgen	0.9999999999999996
fma:Steroid_hormone	snomed:Steroid_hormone	0.9999999999999999
fma:Angular_artery	snomed:Foot_artery	0.9576791599903985
fma:Facial_branch_of_facial_artery	snomed:Facial_branch_of_facial_artery	0.9999999999999993
fma:Angular_gyrus	snomed:Fusiform_gyrus	0.9794520349849801
fma:Gyrus_of_neuraxis	snomed:Pleural_membrane_structure	0.9559998259746613
fma:Ankle_joint	snomed:Crural_artery	0.9674917098357481
fma:Synovial_joint_of_free_limb_segment	snomed:Synovial_structure_of_lower_limb	0.9806787025895644
