Entity1	Entity2	Value
fma:Concept_name	snomed:Context_values	0.5714285714285714
fma:Part_of_relationship_value	snomed:Part_of_pectoralis_major	0.5384615384615384
fma:Physical_anatomical_entity	snomed:Physical_anatomical_entity	1.0
fma:Non_physical_anatomical_entity_template	snomed:Physical_anatomical_entity	0.6666666666666667
fma:Anatomical_structure	snomed:Anatomical_structure	1.0
fma:Portion_of_body_substance	snomed:Body_substance	1.0
fma:Subdivision_of_genital_system	snomed:Skeletal_system_subdivision	0.8518518518518519
fma:Subdivision_of_hemolymphoid_system	snomed:Lymphoid_system_subdivision	0.8709677419354839
fma:Subdivision_of_nervous_system	snomed:Venous_system_subdivision	0.8846153846153846
fma:Immaterial_anatomical_entity	snomed:Physical_anatomical_entity	0.7142857142857143
fma:Material_anatomical_entity	snomed:Physical_anatomical_entity	0.7692307692307692
fma:Cell	snomed:Abnormal_cell	0.8461538461538461
fma:Endo_epithelial_cell	snomed:Endothelial_cell	0.8
fma:Abdomen	snomed:Abdominal	0.6666666666666667
fma:Subdivision_of_trunk_proper	snomed:Subdivision_of_retina	0.5925925925925926
fma:Abdominal_aorta	snomed:Abdominal_aorta_finding	0.6521739130434783
fma:Segment_of_aorta	snomed:Repair_of_aorta	0.625
fma:Abdominal_cavity	snomed:Abdominal_ganglion	0.6666666666666667
fma:Body_cavity_subdivision	snomed:Body_part_subdivision	0.8260869565217391
fma:Abdominal_lymph_node	snomed:Abdominal_lymph_node_group	0.7692307692307692
fma:Deep_lymph_node	snomed:Deep_parotid_lymph_node	0.6521739130434783
fma:Abdominal_part_of_esophagus	snomed:Repair_of_esophagus	0.7142857142857143
fma:Segment_of_esophagus	snomed:Region_of_esophagus	0.8
fma:Abducens_nerve	snomed:Lateral_rectus_tendon	0.7619047619047619
fma:Cranial_nerve	snomed:Cranial_nerve_part	0.7222222222222222
fma:Abducens_nucleus	snomed:Pontine_cranial_nerve_nucleus	0.7931034482758621
fma:Nucleus_of_cranial_nerve	snomed:Repair_of_cranial_nerve	0.7083333333333333
fma:Abductor_pollicis_longus	snomed:Tendon_of_abductor_pollicis_longus	0.7352941176470589
fma:Deep_muscle_of_posterior_compartment_of_forearm	snomed:Structure_of_extensor_compartment_of_forearm	0.7021276595744681
fma:Accessory_pancreatic_duct	snomed:Accessory_pancreas	0.6799999999999999
fma:Pancreatic_duct	snomed:Pancreatic_fluid	0.75
fma:Acellular_anatomical_structure	snomed:Intercellular_anatomical_structure	0.8529411764705882
