Entity1	Entity2	Value
fma:Nutrient_foramen	snomed:AMINO_ACID_PREPARATION	0.9337002038955688
fma:Biological_macromolecule	snomed:Veterinary_proprietary_drug_AND_OR_biological	0.7802246809005737
fma:Isotropic_band	snomed:A_band	0.9183634519577026
fma:Scleral_venous_sinus	snomed:Sarcomere_pattern	0.9302185773849487
fma:Abdomen	snomed:Abdomen_and_or_pelvis_structure	0.9435475468635559
fma:Subdivision_of_pelvis	snomed:Chest_and_or_abdomen_and_or_pelvis_structure	0.9221927523612976
fma:Pelvic_part_of_peritoneal_cavity	snomed:Neck_and_or_chest_and_or_abdomen_and_or_pelvis	0.8855310082435608
fma:Rib_cage	snomed:Abdomen_repair	0.923823356628418
fma:Segment_of_knee	snomed:Operation_on_abdominal_region	0.9293421506881714
fma:Rib_cage	snomed:Trunk_repair	0.934698224067688
fma:Decussation	snomed:Repairaction	0.926354706287384
fma:Subdivision_of_abdomen	snomed:Abdominal_structure	0.9584634900093079
fma:Trunk	snomed:Abdominal	0.9529632329940796
fma:Broca_s_area	snomed:Regional_site_descriptor	0.9357729554176331
fma:Zone_of_abdominal_fascia	snomed:Abdominal_and_pelvic_vascular_structure	0.937282383441925
fma:Regional_part_of_fascia_of_penis	snomed:Vascular_structure_of_trunk	0.9520257711410522
fma:Renal_segment	snomed:Abdominal_aorta_finding	0.9391140341758728
fma:Region_of_organ_component_of_kidney	snomed:General_finding_of_abdomen	0.9413979649543762
fma:Systemic_venous_tree_organ	snomed:Systemic_arterial_finding	0.9544953107833862
fma:Zone_of_abdominal_aorta	snomed:Abdominal_aorta_structure	0.9571247696876526
fma:Descending_aorta	snomed:Descending_aorta_structure	0.9608289003372192
fma:Retroperitoneal_space	snomed:Retroperitoneal_structure	0.9711823463439941
fma:Subdivision_of_cerebral_part_of_internal_carotid_artery	snomed:Structure_of_artery_of_abdomen	0.9392332434654236
fma:Zone_of_abdominal_aorta	snomed:Abdominal_aortic_plexus_structure	0.961001455783844
fma:Inferior_hypogastric_nerve_plexus	snomed:Abdominal_plexus	0.9569268226623535
fma:Zone_of_intra_ocular_part_of_optic_nerve	snomed:Structure_of_lumbar_portion_of_sympathetic_nervous_system	0.94794100522995
fma:Transverse_mesocolon	snomed:Abdominal_artery_repair	0.9259567260742188
fma:Segment_of_knee	snomed:Procedure_on_artery_of_abdomen	0.9228329062461853
fma:Posterior_division_of_internal_iliac_artery	snomed:Repair_of_artery_of_thorax_and_abdomen	0.9176792502403259
fma:Segment_of_knee	snomed:Vascular_surgery_procedure_on_abdominal_region	0.9421217441558838
fma:Abdomen	snomed:Abdominal_cavity_operation	0.9507089257240295
fma:Decussation	snomed:Surgical_action	0.9273068308830261
fma:Subdivision_of_abdomen	snomed:Abdominal_cavity_structure	0.9482905268669128
fma:Apex_of_tongue	snomed:Abdominal_cavity_proper_structure	0.9330035448074341
fma:Body_cavity_subdivision	snomed:Body_cavity_structure	0.962902307510376
fma:Abdomen	snomed:Abdominal_esophagus_structure	0.9567814469337463
fma:Region_of_renal_tubule	snomed:Intra_abdominal_digestive_structure	0.9453635811805725
fma:Region_of_peritoneum	snomed:Structure_of_abdominal_viscus	0.9506157040596008
fma:Orifice_of_large_intestine	snomed:Structure_of_lower_third_of_esophagus	0.9394605159759521
fma:Pelvic_ganglion	snomed:Abdominal_ganglion	0.9706446528434753
fma:Paravertebral_ganglion	snomed:Sympathetic_ganglion_structure	0.9631509184837341
fma:Set_of_abdominal_lymph_nodes	snomed:Abdominal_lymph_node_group	0.9711309671401978
fma:Set_of_abdominal_lymph_nodes	snomed:Abdominal_lymph_node_structure	0.9662913680076599
fma:Capsule_of_lymph_node	snomed:Lymph_node_group	0.9653035998344421
fma:Lymphatic_vessel_of_head	snomed:Lymph_node_structure_of_trunk	0.9673863649368286
fma:Region_of_organ_component	snomed:Abdominal_organ_finding	0.9333404302597046
fma:Neurocranium	snomed:Viscus_structure_finding	0.9433218240737915
fma:Branch_of_autonomic_plexus	snomed:Autonomic_plexus_structure	0.9712058901786804
fma:Dorsal_digital_nerve_of_foot	snomed:Peripheral_nerve_structure_of_trunk	0.9594587683677673
fma:Apex_of_tongue	snomed:Chest_and_or_abdomen_structure	0.9387105107307434
fma:Cardinal_body_part	snomed:Lower_body_part_structure	0.9414422512054443
fma:Region_of_surface_of_pancreas	snomed:Structure_of_subregion_of_trunk	0.945562481880188
fma:Muscle_of_abdomen	snomed:Abdominal_vascular_structure	0.9598920345306396
fma:Abdominal_viscus	snomed:Abdominal_visceral_artery	0.9554694890975952
fma:Branch_of_peroneal_artery	snomed:Branch_of_abdominal_aorta	0.9707476496696472
fma:Muscle_of_abdomen	snomed:Abdominal_wall_muscular_space	0.9363968372344971
fma:Muscle_of_abdomen	snomed:Abdominal_wall_structure	0.953243613243103
fma:Subdivision_of_abdomen	snomed:Abdominal_wall_procedure	0.9155064821243286
fma:Segment_of_knee	snomed:Procedure_on_abdomen	0.9352076649665833
fma:Body_cavity	snomed:Body_wall_structure	0.9203776717185974
fma:Amphiarthrosis	snomed:Abducens_nerve_disorder	0.9686339497566223
fma:Cranial_synchondrosis	snomed:Cranial_nerve_disorder	0.9515696167945862
fma:Oligodendroglia	snomed:Visual_system_disorder	0.943539023399353
fma:Abducens_nucleus	snomed:Abducens_nerve_structure	0.9741254448890686
fma:Root_of_cranial_nerve	snomed:Cranial_nerve_structure	0.9736940860748291
fma:Fasciculus_of_brain	snomed:Structure_of_visual_system	0.9324787259101868
fma:Musculature_of_subdivision_of_upper_limb	snomed:Aberrant_muscle_of_the_lower_limb	0.9535763263702393
fma:Fibrous_ring_of_heart	snomed:Congenital_anomaly_of_lower_limb	0.9095627665519714
fma:Thyroid_cartilage	snomed:Congenital_anomaly_of_skeletal_muscle	0.9034212231636047
fma:Parathyroid_gland	snomed:Congenital_ectopia	0.9286315441131592
fma:Musculature_of_subdivision_of_upper_limb	snomed:Skeletal_muscle_structure_of_lower_limb	0.968457043170929
fma:Placenta	snomed:Congenital	0.9131014943122864
fma:Musculature_of_subdivision_of_upper_limb	snomed:Aberrant_muscle_of_the_upper_limb	0.9522848129272461
fma:Fibrous_ring_of_heart	snomed:Congenital_anomaly_of_upper_limb	0.9060771465301514
fma:Musculature_of_subdivision_of_upper_limb	snomed:Skeletal_muscle_structure_of_upper_limb	0.9678019285202026
fma:Giant_cell	snomed:Abnormal_cell	0.9447940587997437
fma:Organelle	snomed:Entire_cell	0.9092328548431396
fma:Acellular_anatomical_structure	snomed:Morphologically_abnormal_structure	0.9383322596549988
fma:Erythrocyte	snomed:Abnormal_red_blood_cell	0.9436326026916504
fma:Erythrocyte	snomed:Erythrocyte	0.9650329947471619
fma:Facial_modiolus	snomed:Abnormal_tooth_spacing_NOS	0.9113296866416931
fma:Lingual_aponeurosis	snomed:Diastema_of_teeth	0.9590325355529785
fma:Vestibular_fold	snomed:Congenital_malposition	0.9109076857566833
fma:Crown_of_tooth	snomed:Tooth_structure	0.9419081211090088
fma:Region_of_membranous_part_of_interventricular_septum	snomed:Abnormality_of_atrial_septum	0.9157258868217468
fma:Clinical_crown_of_tooth	snomed:Structural_disorder_of_heart	0.9288880228996277
fma:Cartilaginous_component	snomed:Mechanical_abnormality	0.9267892837524414
fma:Interatrial_septum	snomed:Interatrial_septum_structure	0.9666522145271301
fma:Accessory_parathyroid_gland	snomed:Accessory_adrenal_gland	0.9727941155433655
fma:Embryonic_cardiac_structure	snomed:Congenital_anomaly_of_adrenal_gland	0.9253694415092468
fma:Valve_of_foramen_ovale	snomed:Congenital_malformation	0.8985635042190552
fma:Juxtaglomerular_complex	snomed:Supernumerary_structure	0.9544292092323303
fma:Adrenal_gland	snomed:Adrenal_structure	0.961322546005249
fma:Accessory_atrioventricular_bundle	snomed:Accessory_atrioventricular_bundle	0.9593350291252136
fma:Atrioventricular_bundle	snomed:Atrioventricular_bundle_structure	0.9617681503295898
fma:Paraurethral_gland	snomed:Accessory_bladder	0.9600611329078674
fma:Fibrous_ring_of_heart	snomed:Congenital_anomaly_of_the_bladder	0.9223980903625488
fma:Membrana_granulosa_of_ovarian_follicle	snomed:Congenital_malformation_of_the_urinary_system	0.8856374025344849
fma:Wall_of_urinary_bladder	snomed:Urinary_bladder_structure	0.9761163592338562
fma:Accessory_breast	snomed:Accessory_breast	0.9593287706375122
fma:Accessory_thyroid_gland	snomed:Congenital_anomaly_of_breast	0.9221761226654053
fma:Breast	snomed:Breast_structure	0.9444997310638428
fma:Main_bronchus	snomed:Accessory_bronchus	0.9756954908370972
fma:Tympanic_orifice_of_auditory_tube	snomed:Accessory_structure_of_lower_respiratory_tract	0.9337819814682007
fma:Embryonic_cardiac_structure	snomed:Congenital_anomaly_of_bronchus	0.9193729162216187
fma:Bronchial_vein	snomed:Bronchial_structure	0.9631503820419312
fma:Set_of_intercarpal_joints	snomed:Accessory_carpal_bones	0.9604276418685913
fma:Styloid_process_of_petrous_part_of_temporal_bone	snomed:Congenital_anomaly_of_carpal_bone	0.9121707677841187
fma:Amphiarthrosis	snomed:Polymelia	0.9624158143997192
fma:Bone_tissue_of_palatine_bone	snomed:Bone_structure_of_carpus	0.969414472579956
fma:Triquetral	snomed:Accessory_cuboid_bone	0.9614366292953491
fma:Diaphysis_of_metacarpal_bone	snomed:Supernumerary_tarsal_bone	0.9651502370834351
fma:Navicular_facet_of_cuboid_bone	snomed:Bone_structure_of_cuboid	0.9645545482635498
fma:Set_of_extra_ocular_muscles	snomed:Accessory_eye_muscle	0.9605624079704285
fma:Extra_ocular_muscle	snomed:Myopathy_of_extraocular_muscles	0.9358780980110168
fma:Cartilage_tissue	snomed:Soft_tissue_lesion	0.9487101435661316
fma:Right_posterior_bronchopulmonary_segment	snomed:Structure_of_extraocular_muscle	0.9382289052009583
fma:Meridian_of_eyeball	snomed:Accessory_eyelid	0.9501276016235352
fma:Unpaired_thyroid_venous_plexus	snomed:Congenital_anomaly_of_eyelid	0.914106547832489
fma:Eye	snomed:Eyelid_structure	0.9428114891052246
fma:Uterine_tube	snomed:Accessory_fallopian_tube	0.9625855088233948
fma:Urogenital_diaphragm	snomed:Congenital_anomaly_of_fallopian_tubes	0.917673647403717
fma:Membrana_granulosa_of_ovarian_follicle	snomed:Congenital_malformation_of_genital_organs	0.8871676921844482
fma:Orifice_of_uterine_tube	snomed:Fallopian_tube_structure	0.9539414644241333
fma:Left_gastric_artery	snomed:Accessory_gonad	0.9695825576782227
fma:Testicular_artery	snomed:Gonadal_structure	0.9571585655212402
fma:Accessory_renal_artery	snomed:Accessory_kidney	0.9711631536483765
fma:Fibrous_ring_of_heart	snomed:Congenital_anomaly_of_the_kidney	0.9181267023086548
fma:Renal_segment	snomed:Kidney_structure	0.9413964748382568
fma:Conjunctival_gland	snomed:Accessory_lacrimal_gland	0.9807596802711487
fma:Conjunctival_gland	snomed:Conjunctival_gland	0.9873942732810974
fma:Conjunctival_gland	snomed:Eyelid_gland	0.9614274501800537
fma:Conjunctival_gland	snomed:Lacrimal_gland_structure	0.9640119075775146
fma:Trunk	snomed:Side	0.9053403735160828
fma:Ligament_of_glenohumeral_joint	snomed:Accessory_ligament_of_ankle_joint	0.9727871417999268
fma:Articular_capsule_of_glenohumeral_joint	snomed:Structure_of_ligament_of_ankle_joint	0.9539276361465454
fma:Transverse_ligament_of_knee_joint	snomed:Accessory_ligament_of_knee_joint	0.9769831895828247
fma:Ligament_of_glenohumeral_joint	snomed:Intracapsular_ligament_of_knee_joint	0.9775032997131348
fma:Palmar_ligament_of_interphalangeal_joint	snomed:Accessory_ligament_of_midcarpal_joint	0.97622150182724
fma:Articular_capsule_of_distal_radio_ulnar_joint	snomed:Structure_of_ligament_of_midcarpal_joint	0.9526084661483765
fma:Superior_lingular_bronchopulmonary_segment	snomed:Accessory_lobe_of_lung	0.96475750207901
fma:Accessory_breast	snomed:Accessory_lung	0.9506012201309204
fma:Region_of_surface_of_lung	snomed:Structure_of_lobe_of_lung	0.9521968960762024
fma:Embryonic_cardiac_structure	snomed:Congenital_anomaly_of_lung	0.9210336208343506
fma:Chest_wall	snomed:Lung_structure	0.9286239147186279
fma:Accessory_meningeal_artery	snomed:Accessory_meningeal_artery	1.0000001192092896
fma:Intracranial_branch_of_vertebral_artery	snomed:Intracranial_branch_of_external_carotid_artery	0.9889154434204102
fma:Talar_facet_of_navicular_bone_of_foot	snomed:Accessory_navicular_bone_of_foot	0.9790241718292236
fma:Bone_tissue_of_zone_of_carpal_bone	snomed:Bone_structure_of_navicular	0.9619296789169312
fma:Neurotendinous_ending	snomed:Accessory_nerve_structure	0.9670408368110657
fma:External_acoustic_tube	snomed:Accessory_nose	0.9427652359008789
fma:Urogenital_diaphragm	snomed:Congenital_anomaly_of_nose	0.9053184986114502
fma:Lumbar_intervertebral_symphysis	snomed:Disorder_of_external_nose	0.9165746569633484
fma:External_nose	snomed:External_nose_structure	0.9619989395141602
fma:Set_of_accessory_lacrimal_glands	snomed:Accessory_olivary_nucleus	0.9643807411193848
fma:Prepyriform_area	snomed:Olivary_nucleus_structure	0.9648280143737793
fma:Fundus_of_urinary_bladder	snomed:Accessory_ovary	0.9597920775413513
fma:Urogenital_part_of_perineum	snomed:Congenital_anomaly_of_abdomen	0.9241976141929626
fma:Pectinate_muscle_of_right_atrium	snomed:Congenital_anomaly_of_body_cavity	0.8915956616401672
fma:Accessory_thyroid_gland	snomed:Congenital_anomaly_of_female_genital_system	0.904045820236206
fma:Bipolar_cell_of_retina	snomed:Congenital_anomaly_of_ovary	0.9091876745223999
fma:Fundus_of_uterus	snomed:Ovarian_structure	0.9660874009132385
fma:Accessory_pancreas	snomed:Accessory_pancreas	0.9877109527587891
fma:Embryonic_cardiac_structure	snomed:Congenital_malformation_of_pancreas	0.908970832824707
fma:Yolk_sac	snomed:Congenital_anomaly	0.9080772399902344
fma:Head_of_muscle_organ	snomed:Digestive_organ_structure	0.9487090110778809
fma:Pancreatic_artery	snomed:Pancreatic_structure	0.9608154296875
fma:Accessory_parathyroid_gland	snomed:Accessory_parathyroid_gland	1.0000001192092896
fma:Accessory_thyroid_gland	snomed:Congenital_anomaly_of_parathyroid_glands	0.9214012622833252
fma:Ependyma_of_neuraxis	snomed:Parathyroid_structure	0.9634469151496887
fma:Accessory_parathyroid_gland	snomed:Accessory_parotid_gland	0.9787507653236389
fma:Accessory_parathyroid_gland	snomed:Accessory_salivary_gland	0.9731155633926392
fma:Capsule_of_parotid_gland	snomed:Parotid_gland_structure	0.9739297032356262
fma:Accessory_parathyroid_gland	snomed:Accessory_pituitary_gland	0.9837732911109924
fma:Accessory_thyroid_gland	snomed:Congenital_anomaly_of_pituitary_gland	0.92901611328125
fma:Pituitary_gland	snomed:Pituitary_structure	0.9534691572189331
fma:Accessory_renal_artery	snomed:Accessory_renal_artery	0.9999998211860657
fma:Esophageal_artery	snomed:Intra_abdominal_artery	0.9569839239120483
fma:Accessory_breast	snomed:Accessory_rib	0.9438333511352539
fma:Urogenital_diaphragm	snomed:Congenital_anomaly_of_rib	0.9186817407608032
fma:Bony_zone_of_rib	snomed:Bone_structure_of_rib	0.9552750587463379
fma:Duct_of_salivary_gland	snomed:Accessory_salivary_duct	0.9779378175735474
fma:Accessory_thyroid_gland	snomed:Congenital_abnormality_of_salivary_duct	0.9268480539321899
fma:Duct_of_salivary_gland	snomed:Salivary_duct_structure	0.969590425491333
fma:Accessory_thyroid_gland	snomed:Congenital_anomaly_of_salivary_gland	0.9230543971061707
fma:Accessory_thyroid_gland	snomed:Congenital_malformation_of_salivary_glands_and_ducts	0.9167890548706055
fma:Capsule_of_salivary_gland	snomed:Salivary_gland_structure	0.9676614999771118
fma:Extra_ocular_muscle	snomed:Accessory_skeletal_muscle	0.9593896269798279
fma:Skeletal_muscle_tissue	snomed:Skeletal_muscle_structure	0.9770264625549316
fma:Accessory_spleen	snomed:Accessory_spleen	0.9699022173881531
fma:Embryonic_cardiac_structure	snomed:Congenital_anomaly_of_spleen	0.9299524426460266
fma:Hilum_of_spleen	snomed:Splenic_structure	0.9638383984565735
fma:Embryonic_cardiac_structure	snomed:Congenital_anomaly_of_lower_respiratory_system	0.9214807748794556
fma:Accessory_thyroid_gland	snomed:Congenital_malformation_of_the_respiratory_system	0.8915111422538757
