Entity1	Entity2	Value
fma:Amino_acid	snomed:AMINO_ACID_PREPARATION	0.9619125846883136
fma:Biological_macromolecule	snomed:Veterinary_proprietary_drug_AND_OR_biological	0.8493842317437511
fma:Nail	snomed:A_band	0.936768188256172
fma:Smooth_muscle_cell	snomed:Sarcomere_pattern	0.9475936340974751
fma:Subdivision_of_pelvis	snomed:Abdomen_and_or_pelvis_structure	0.9630452957933163
fma:Subdivision_of_pelvis	snomed:Chest_and_or_abdomen_and_or_pelvis_structure	0.9378820290655319
fma:Subdivision_of_pelvis	snomed:Neck_and_or_chest_and_or_abdomen_and_or_pelvis	0.9167082795157464
fma:Rib_cage	snomed:Abdomen_repair	0.9412930216394128
fma:Segment_of_knee	snomed:Operation_on_abdominal_region	0.9587897595220001
fma:Spinal_branch	snomed:Trunk_repair	0.9430983590628094
fma:Nail	snomed:Repairaction	0.950297293581863
fma:Muscle_of_abdomen	snomed:Abdominal_structure	0.9709381081824675
fma:Trunk	snomed:Abdominal	0.9609897488133287
fma:Fascial_sheath_of_eyeball	snomed:Regional_site_descriptor	0.9459192688909337
fma:Subdivision_of_pelvis	snomed:Abdominal_and_pelvic_vascular_structure	0.9578856998313736
fma:Musculature_of_subdivision_of_trunk	snomed:Vascular_structure_of_trunk	0.9577964699224735
fma:Zone_of_abdominal_aorta	snomed:Abdominal_aorta_finding	0.968030803310288
fma:Basal_zone_of_lung	snomed:General_finding_of_abdomen	0.9479274070835606
fma:Systemic_artery	snomed:Systemic_arterial_finding	0.9657058536817252
fma:Abdominal_aorta	snomed:Abdominal_aorta_structure	0.9812569567488896
fma:Descending_aorta	snomed:Descending_aorta_structure	0.9776198979329676
fma:Retroperitoneal_space	snomed:Retroperitoneal_structure	0.9896732262543472
fma:Space_of_compartment_of_limb	snomed:Structure_of_artery_of_abdomen	0.9610707997266347
fma:Preaortic_nerve_plexus	snomed:Abdominal_aortic_plexus_structure	0.9825853151606018
fma:Deep_cardiac_nerve_plexus	snomed:Abdominal_plexus	0.9778292557825907
fma:Ankle_joint	snomed:Structure_of_lumbar_portion_of_sympathetic_nervous_system	0.9652930011337821
fma:Cardiac_vein	snomed:Abdominal_artery_repair	0.9479770483983502
fma:Segment_of_knee	snomed:Procedure_on_artery_of_abdomen	0.9473200584950836
fma:Back_of_thorax	snomed:Repair_of_artery_of_thorax_and_abdomen	0.9462283276261304
fma:Fascial_sheath_of_eyeball	snomed:Vascular_surgery_procedure_on_abdominal_region	0.9578355405881669
fma:Subdivision_of_abdomen	snomed:Abdominal_cavity_operation	0.9727492814089257
fma:Decussation	snomed:Surgical_action	0.9389347615020428
fma:Apex_of_tongue	snomed:Abdominal_cavity_structure	0.9682133824969533
fma:Apex_of_tongue	snomed:Abdominal_cavity_proper_structure	0.9513082554849036
fma:Body_cavity_subdivision	snomed:Body_cavity_structure	0.9771666078563861
fma:Segment_of_esophagus	snomed:Abdominal_esophagus_structure	0.9821831842724459
