Entity1	Entity2	Value
fma:Anatomical_relation	snomed:AMINO_ACID_PREPARATION	0.5
fma:Lamina_propria_mucosae_of_colon	snomed:Veterinary_proprietary_drug_AND_OR_biological	0.4222222222222223
fma:Anisotropic_band	snomed:A_band	0.8333333333333334
fma:Arcuate_artery	snomed:Sarcomere_pattern	0.5294117647058824
fma:Anatomical_structure	snomed:Abdomen_and_or_pelvis_structure	0.4838709677419355
fma:Acellular_anatomical_structure	snomed:Chest_and_or_abdomen_and_or_pelvis_structure	0.40909090909090906
fma:Zone_of_dense_endoabdominal_fascia	snomed:Neck_and_or_chest_and_or_abdomen_and_or_pelvis	0.3913043478260869
fma:Abdomen	snomed:Abdomen_repair	0.5714285714285714
fma:Set_of_abdominal_regions	snomed:Operation_on_abdominal_region	0.6896551724137931
fma:Hair_of_trunk	snomed:Trunk_repair	0.75
fma:Synapse	snomed:Repairaction	0.47058823529411764
fma:Anatomical_structure	snomed:Abdominal_structure	0.8
fma:Abdomen	snomed:Abdominal	0.6666666666666667
fma:Secretion_of_seminal_vesicle	snomed:Regional_site_descriptor	0.48
fma:Acellular_anatomical_structure	snomed:Abdominal_and_pelvic_vascular_structure	0.4871794871794872
fma:Musculature_of_neck	snomed:Vascular_structure_of_trunk	0.5185185185185186
fma:Abdominal_aorta	snomed:Abdominal_aorta_finding	0.6521739130434783
fma:Lateral_lumbar_region_of_abdomen	snomed:General_finding_of_abdomen	0.6538461538461539
fma:Systemic_arterial_trunk	snomed:Systemic_arterial_finding	0.76
fma:Anatomical_structure	snomed:Abdominal_aorta_structure	0.6
fma:Descending_aorta	snomed:Descending_aorta_structure	0.6153846153846154
fma:Retroperitoneal_space	snomed:Retroperitoneal_structure	0.76
fma:Musculature_of_anterior_abdominal_wall	snomed:Structure_of_artery_of_abdomen	0.6451612903225806
fma:Preaortic_nerve_plexus	snomed:Abdominal_aortic_plexus_structure	0.696969696969697
fma:Abdominal_viscus	snomed:Abdominal_plexus	0.75
fma:Cranial_part_of_parasympathetic_nervous_system	snomed:Structure_of_lumbar_portion_of_sympathetic_nervous_system	0.5964912280701755
fma:Abdominal_part_of_ureter	snomed:Abdominal_artery_repair	0.6666666666666667
fma:Back_of_abdomen	snomed:Procedure_on_artery_of_abdomen	0.6
fma:Back_of_abdomen	snomed:Repair_of_artery_of_thorax_and_abdomen	0.4473684210526315
fma:Region_of_vascular_tree_organ	snomed:Vascular_surgery_procedure_on_abdominal_region	0.5
fma:Abdominal_cavity	snomed:Abdominal_cavity_operation	0.6153846153846154
fma:Subdivision_of_neck	snomed:Surgical_action	0.6
fma:Abdominal_cavity	snomed:Abdominal_cavity_structure	0.6153846153846154
fma:Abdominal_part_of_ureter	snomed:Abdominal_cavity_proper_structure	0.5454545454545454
fma:Embryonic_cardiac_structure	snomed:Body_cavity_structure	0.5925925925925926
fma:Abdominal_part_of_esophagus	snomed:Abdominal_esophagus_structure	0.6551724137931034
fma:Anatomical_structure	snomed:Intra_abdominal_digestive_structure	0.48571428571428577
fma:Set_of_viscera_of_abdomen	snomed:Structure_of_abdominal_viscus	0.6551724137931034
fma:Cardiac_esophageal_gland	snomed:Structure_of_lower_third_of_esophagus	0.5135135135135135
fma:Subdivision_of_abdomen	snomed:Abdominal_ganglion	0.7777777777777778
fma:Sympathetic_ganglion	snomed:Sympathetic_ganglion_structure	0.6666666666666667
fma:Abdominal_lymph_node	snomed:Abdominal_lymph_node_group	0.7692307692307692
