Entity1	Entity2	Value
snomed:Angiography_technique	nci:Anatomy_Kind	0.9237583875656128
snomed:Cognitive_function_feature	nci:Biological_Process_Kind	0.9279636740684509
snomed:Alcohol_agent	nci:Chemicals_and_Drugs_Kind	0.9217908382415771
snomed:Silicone_product	nci:Gene_Product_Kind	0.9303648471832275
snomed:Abnormal_cell_structure	nci:Abnormal_Cell_Kind	0.9559081792831421
snomed:Structure_of_organ_cavity_subdivision	nci:Findings_and_Disorders_Kind	0.8765015006065369
snomed:Malignant_teratoma_intermediate	nci:Molecular_Abnormality_Kind	0.9333544373512268
snomed:Special_disorder_atoms	nci:Properties_or_Attributes_Kind	0.8804776668548584
snomed:Gene	nci:Gene_Kind	0.9545499086380005
snomed:Organism	nci:Organism_Kind	0.9504416584968567
snomed:Histopathology_finding	nci:Diagnostic_and_Prognostic_Factors_Kind	0.9157620072364807
snomed:Treatment_intent	nci:Pathway_Kind	0.9351546168327332
snomed:Acquired_factor_IX_deficiency_disease	nci:AIDS	0.9766870737075806
snomed:T_lymphocyte_immunodeficiency	nci:T-Cell_Immunodeficiency	0.9867959022521973
snomed:Anabolism_function	nci:AKT_Signaling_Pathway	0.9316483736038208
snomed:Metabolic_pathway_function	nci:Signaling_Pathways	0.922345757484436
snomed:Ergot_alkaloid_measurement	nci:ALK_Pathway	0.9475229978561401
snomed:Cell_process	nci:Cell_Differentiation_or_Development_Pathway	0.9259344339370728
snomed:Temporal_lobe_sulcus	nci:APC_Tumor-Suppressor_Gene_Inactivation	0.9509962201118469
snomed:Monoclonal_gene_rearrangement	nci:Tumor-Suppressor_Gene_Inactivation	0.950958788394928
snomed:Gonad_tissue	nci:APUD_Cell	0.9546753168106079
snomed:Somatic_stem_cell	nci:Neural_Crest-Derived_Cell	0.9542249441146851
snomed:Abdominal	nci:Abdominal	1.0
snomed:Guidance_intent	nci:Anatomy_Modifier	0.9161065816879272
snomed:Abdominal_aorta_structure	nci:Abdominal_Aorta	0.9580575823783875
snomed:Aortic_arch_structure	nci:Aortic_Segment	0.9497480988502502
snomed:Abdominal	nci:Abdominal_Cavity	0.9653699398040771
snomed:Descending_aorta_structure	nci:Descending_Aorta	0.9618474841117859
snomed:Abdominal_aorta_structure	nci:Abdominal_Aorta_Branch	0.9620968699455261
snomed:Arterial_structure	nci:Artery	0.9271987676620483
snomed:Neoplasm_of_sigmoid_colon	nci:Abdominal_Carcinomatosis	0.9671280980110168
snomed:Carcinomatosis	nci:Carcinomatosis	1.0000001192092896
snomed:Metastasis_to_soft_tissue_of_unknown_primary	nci:Metastatic_Neoplasm_to_the_Peritoneum	0.9673606157302856
snomed:Body_cavity_region	nci:Cavity	0.9301823377609253
snomed:Abdominal_stoma	nci:Abdominal_Esophagus	0.9647600650787354
snomed:Region_of_spinal_cord	nci:Body_Region	0.9527944326400757
snomed:Esophageal_sphincter	nci:Esophagus	0.9631901383399963
snomed:Abdominal_mass	nci:Abdominal_Mass	1.0
snomed:Mass	nci:Mass	1.000000238418579
snomed:Abdominal_organ	nci:Abdominal_Muscle	0.9652456045150757
snomed:Skeletal_muscle_fiber	nci:Muscle	0.9400027394294739
snomed:Abdominal_pain	nci:Abdominal_Pain	0.9866762757301331
snomed:Pain	nci:Pain	1.0000001192092896
snomed:Skin_tissue	nci:Abdominal_Skin	0.9500002861022949
snomed:Skin_of_part_of_trunk	nci:Skin_of_the_Trunk	0.9809949398040771
snomed:Abducens_nerve_structure	nci:Abducens_Nerve	0.9672443270683289
snomed:Cranial_nerve_part	nci:Cranial_Nerve	0.95158851146698
snomed:Abducens_nerve_disorder	nci:Abducens_Nerve_Disorder	0.9904994964599609
snomed:Cranial_nerve_disorder	nci:Cranial_Nerve_Disorder	0.9983269572257996
snomed:Neoplasm_of_abducens_nerve	nci:Abducens_Nerve_Neoplasm	0.9806438088417053
snomed:Neoplasm_of_cranial_nerve	nci:Cranial_Nerve_Neoplasm	0.984695553779602
snomed:Abducens_nerve_structure	nci:Abducens_Nucleus	0.9643895626068115
snomed:Brain_structure	nci:Brain_Nucleus	0.9656620025634766
snomed:Pons_part	nci:Pons_Varolii	0.9590684175491333
snomed:Cervical_sympathetic_paralysis	nci:Abducent_Nerve_Paralysis	0.9722569584846497
snomed:Cranial_nerve_disorder	nci:Cranial_Nerve_Paralysis	0.9794833064079285
snomed:Accessory_ligament_of_knee_joint	nci:Abductor_Pollicis_Longus	0.9279603958129883
snomed:Abnormal_globulin_level	nci:Abnormal_Blood_and_Hematology_Test_Result	0.9567022919654846
snomed:Abnormal_globulin_level	nci:Abnormal_Laboratory_Test	0.9570729732513428
snomed:Abnormal_biochemistry_findings	nci:Abnormal_Bone_Marrow_Test_Result	0.9499483704566956
snomed:Abnormal_globulin_level	nci:Abnormal_Hematology_Test_Result	0.9598249197006226
snomed:Abnormal_cell	nci:Abnormal_Cell	1.0000001192092896
snomed:Myocardium_structure	nci:EO_Anatomy_Kind	0.9366906881332397
snomed:Biomedical_equipment	nci:Equipment_Kind	0.9185613989830017
snomed:Structure_of_tectorial_membrane	nci:NCI_Kind	0.9627833962440491
snomed:Abnormal_cell_structure	nci:Abnormal_Cells_Present	0.9335570931434631
snomed:Morphologic_finding	nci:Morphologic_Finding	1.0000003576278687
snomed:Connective_tissue	nci:Abnormal_Connective_and_Soft_Tissue_Cell	0.9476114511489868
snomed:Abnormal_megakaryocyte	nci:Abnormal_Cytotrophoblastic_Cell	0.9625017046928406
snomed:Abnormal_megakaryocyte	nci:Abnormal_Trophoblastic_Cell	0.9637584090232849
snomed:Abnormal_megakaryocyte	nci:Abnormal_Endothelial_Cell	0.9475995898246765
snomed:Abnormal_cell	nci:Abnormal_Epithelial_Cell	0.959125280380249
snomed:Abnormal_hematopoietic_cell	nci:Abnormal_Germ_Cell	0.9536623358726501
snomed:Abnormal_cell	nci:Abnormal_Glandular_Cell	0.9614967107772827
snomed:Hematopoietic_system_finding	nci:Hematopoietic_System_Finding	0.999999463558197
snomed:Abnormal_hematopoietic_cell	nci:Abnormal_Hematopoietic_Cell	0.9714769721031189
snomed:Abnormal_globulin_level	nci:Abnormal_Immunology_Test_Result	0.9578391909599304
snomed:Atypical_fibrous_histiocytoma	nci:Abnormal_Intermediate_Type_Trophoblastic_Cell	0.9547576904296875
snomed:Abnormal_keratinization	nci:Abnormal_Keratinocyte	0.9765205383300781
snomed:Benign_squamous_cell_tumor	nci:Abnormal_Squamous_Cell	0.9610004425048828
snomed:Urine_finding	nci:Lab_Finding	0.9460035562515259
snomed:Abnormal_red_blood_cell	nci:Abnormal_Lymphocyte	0.9527522325515747
snomed:Abnormal_macrophage	nci:Abnormal_Macrophage	1.0000003576278687
snomed:Abnormal_megakaryocyte	nci:Abnormal_Mesothelial_Cell	0.9612319469451904
snomed:Abnormal_megakaryocyte	nci:Abnormal_Myoepithelial_Cell	0.9573758840560913
snomed:Abnormal_megakaryocyte	nci:Abnormal_Syncytiotrophoblastic_Cell	0.9591313004493713
snomed:Morphologically_abnormal_structure	nci:Abnormal_Tissue_Present	0.9097070693969727
snomed:Abnormal_cell	nci:Abnormal_Transitional_Cell	0.9564635753631592
snomed:Abnormal_erythrocyte_production	nci:Abnormal_Urine_Test_Result	0.9514658451080322
snomed:Absence_of_superior_vena_cava	nci:Absence_of_Invasion	0.9223268628120422
snomed:Tumor_extension_finding	nci:Absence_of_Invasion_or_Limited_Invasion_Present	0.9150039553642273
snomed:Intradermal_infiltration_of_steroid	nci:Absence_of_Stromal_Invasion	0.9341840744018555
snomed:Deficiency_of_placental_function	nci:Absence_of_a_Hormonal_Syndrome	0.9252339005470276
snomed:Endocrine_finding	nci:Endocrine_System_Finding	0.9813638925552368
snomed:Acantholysis	nci:Acantholysis	1.0
snomed:Acantholytic_acanthoma	nci:Acantholytic_Acanthoma	1.0000001192092896
snomed:Acantholytic_acanthoma	nci:Acanthoma	0.9823406338691711
snomed:Nodule_of_liver	nci:Skin_Nodule	0.978585958480835
snomed:Skin_lesion	nci:Skin_Papules	0.9703691601753235
snomed:Keratinocyte	nci:Keratinocyte	0.9974015355110168
snomed:Acantholytic_squamous_cell_carcinoma_of_skin	nci:Acantholytic_Squamous_Cell_Skin_Carcinoma	0.9943055510520935
snomed:Keratotic_basal_cell_carcinoma	nci:Keratinizing_Squamous_Cell_Carcinoma	0.9935348629951477
snomed:Squamous_cell_carcinoma_of_cornea	nci:Skin_Squamous_Cell_Carcinoma	0.9870964884757996
snomed:Skin_plaque	nci:Skin_Plaques	0.9999998211860657
snomed:Skin_ulcer	nci:Skin_Ulcer	1.0
snomed:Benign_connective_tissue_neoplasm	nci:Benign_Epithelial_Skin_Neoplasm	0.9854207038879395
snomed:Dermatofibrosarcoma_protuberans	nci:Hair_Follicle_Infundibulum	0.9598208069801331
snomed:Trophoblastic_neoplasm	nci:Neoplastic_Keratinocyte	0.9756057262420654
snomed:Acanthosis	nci:Acanthosis	0.9999997019767761
snomed:Free_nerve_ending	nci:Accessory_Nerve	0.9629104137420654
snomed:Synchondrosis_structure	nci:Accumbens_Nucleus	0.9421769380569458
snomed:Epineurium	nci:Acetabulum	0.9636987447738647
snomed:Joint_of_hallux	nci:Joint_of_the_Pelvic_Girdle	0.9517874121665955
snomed:Fascial_fibroma	nci:Achilles_Tendon	0.9677218794822693
snomed:Tendon_structure	nci:Tendon	0.9417083859443665
snomed:Phagocytic_cell	nci:Acidophilic_Cell	0.9630314111709595
snomed:Adenomatoid_odontogenic_tumor	nci:Adenohypophysial_Cell	0.9742918014526367
snomed:Neurilemma_cell	nci:Acinar_Cell	0.973097562789917
snomed:Reticulum_cell	nci:Glandular_Cell	0.9676529765129089
snomed:Nasopharynx_finding	nci:Secretory_Cell	0.9331889152526855
snomed:Acinar_cell_adenoma	nci:Acinar_Cell_Adenoma	0.9970060586929321
snomed:Acinar_cell_neoplasm	nci:Acinar_Cell_Neoplasm	0.9942672848701477
snomed:Adenomyoma	nci:Adenoma	0.9771499037742615
snomed:Acinar_cell_carcinoma	nci:Acinar_Cell_Carcinoma	0.9962468147277832
snomed:Adenosquamous_carcinoma	nci:Adenocarcinoma	0.9876135587692261
snomed:Adenocarcinoma_carcinomatosis	nci:Secretory_Adenocarcinoma_Cell	0.9774384498596191
snomed:Germ_cell_neoplasm	nci:Glandular_Cell_Neoplasm	0.979718029499054
snomed:Acinar_cell_neoplasm	nci:Neoplastic_Acinar_Cell	0.977744460105896
snomed:Epithelium	nci:Glandular_Epithelium	0.9619147777557373
snomed:Acoustic_neuroma	nci:Acoustic_Schwannoma	0.9813912510871887
snomed:Neurilemmoma	nci:Schwannoma	0.9892340898513794
snomed:Neoplasm_of_oculomotor_nerve	nci:Vestibulocochlear_Nerve_Neoplasm	0.9819102883338928
snomed:Inverted_T_wave	nci:Antoni_B_Pattern	0.9134950637817383
snomed:Cranial_nerve_part	nci:Vestibulocochlear_Nerve	0.9707667827606201
snomed:Acquired_tufted_hemangioma	nci:Acquired_Hemangioma	0.9701404571533203
snomed:Benign_hemangioma	nci:Hemangioma	0.9851588606834412
snomed:Acquired_fistula	nci:Acquired_Lesion	0.9421050548553467
snomed:Coin_lesion	nci:Lesion	0.9512661695480347
snomed:Mucosal_lentiginous_melanoma	nci:Acral_Lentiginous_Malignant_Melanoma	0.9808655381202698
snomed:Malignant_melanoma_of_skin	nci:Cutaneous_Melanoma	0.9836788177490234
snomed:Mikulicz_s_disease	nci:BRAF_Gene_Mutation	0.9516031742095947
snomed:Spindle_cell_malignant_melanoma	nci:Dendritic_Melanoma_Cell	0.9731118083000183
snomed:Spindle_cell_melanoma	nci:Spindle_Melanoma_Cell	0.982492983341217
snomed:Corneal_lesion	nci:Macular_Lesion	0.9784905314445496
snomed:Skin_structure_of_extremity	nci:Skin_of_the_Extremity	0.9738207459449768
snomed:Collagen_nevus_of_skin	nci:Acral_Skin_Nevus	0.9720679521560669
snomed:Senile_nevus	nci:Melanocytic_Nevus	0.9778690338134766
snomed:Melanocytic_neoplasm	nci:Melanocytic_Skin_Neoplasm	0.9861540794372559
snomed:Gastroepiploic_artery	nci:Acromial_Thoracic_Artery	0.9660986065864563
snomed:Distal_lower_limb_artery	nci:Axillary_Artery_Branch	0.966204047203064
snomed:Intracapsular_ligament_of_knee_joint	nci:Acromioclavicular_Joint	0.9582599997520447
snomed:Connective_tissue_by_site	nci:Joint_By_Site	0.9330722689628601
snomed:Aptyalism	nci:Acromion	0.9648669958114624
snomed:Skeletal_muscle_part	nci:Skeletal_System_Part	0.9789837598800659
snomed:Latvia	nci:Clavicle	0.9272860884666443
snomed:Acrosyringeal_nevus	nci:Acrosyringeal_Nevus	1.0000001192092896
snomed:Sweat_gland_structure	nci:Sweat_Gland	0.9490041732788086
snomed:Actin	nci:Actin	0.9999999403953552
snomed:Cytokeratin_filaments	nci:Microfilament_Protein	0.9233573079109192
snomed:Cytokeratin_filaments	nci:Actin_Filament	0.9521030783653259
snomed:Cell_production_function	nci:Cell_Motility	0.9596563577651978
snomed:Actin_binding_protein	nci:Actin-Binding_Protein	0.9720271229743958
snomed:Binding_protein	nci:Ligand_Binding_Protein	0.9837176203727722
snomed:Golgi_complex	nci:Cytoskeleton	0.9484441876411438
snomed:Glial_fibrillary_acidic_protein	nci:Cytoskeletal_Protein	0.922173023223877
snomed:Cytoplasmic_filaments	nci:Filament	0.9502801299095154
snomed:Actinic_reaction	nci:Actinic_Damage	0.9715299010276794
snomed:Airway_trauma	nci:Injury	0.9450405836105347
snomed:Integumentary_system_finding	nci:Integumentary_System_Signs_and_Symptoms	0.9184541702270508
snomed:T_lymphocyte	nci:Activated_Lymphocyte	0.9441702365875244
snomed:Lymphocyte	nci:Lymphocyte	0.9843232035636902
snomed:Immune_effector_cell	nci:Activated_Natural-Killer_Cell	0.9467787146568298
snomed:Immune_effector_cell	nci:Natural_Killer_Cell	0.9471186399459839
snomed:Course_of_illness	nci:Acute_Clinical_Course	0.9126155972480774
snomed:Course_of_illness	nci:Clinical_Course_of_Disease	0.9210171699523926
snomed:Acute_hemorrhagic_inflammation	nci:Acute_Inflammatory_Infiltrate	0.9538630843162537
snomed:Interstitial_inflammation	nci:Inflammatory_Infiltrate	0.9546689987182617
snomed:Acute_leukemia_disease	nci:Acute_Leukemia	0.9737929105758667
snomed:Leukemia_disease	nci:Leukemia	0.9749566912651062
snomed:Chronic_hypotension	nci:Chronic_Clinical_Course	0.9252477288246155
snomed:Skin_appendage_carcinoma	nci:Adamantinoid_Basal_Cell_Carcinoma	0.9790531992912292
snomed:Basal_cell_carcinoma	nci:Basal_Cell_Carcinoma	0.983878493309021
snomed:Malignant_eccrine_spiradenoma	nci:Malignant_Stellate_Cell	0.9764997959136963
snomed:Adenine	nci:Adenine	0.9559879899024963
snomed:Purine	nci:Purine	1.0
snomed:Adenocarcinoid_tumor	nci:Adenocarcinofibroma	0.9771249890327454
snomed:Malignant_tumor_of_vagina	nci:Malignant_Female_Reproductive_System_Neoplasm	0.9858959913253784
snomed:Malignant_Triton_tumor	nci:Malignant_Mixed_Neoplasm	0.9837551712989807
snomed:Mixed_acinar_endocrine_carcinoma	nci:Mixed_Mesodermal_Mullerian_Tumor	0.975428581237793
snomed:Malignant_basal_cell_tumor	nci:Malignant_Stromal_Cell	0.980711817741394
snomed:Adenocarcinoid_tumor	nci:Adenocarcinoma_Cell	0.9787330627441406
snomed:Fibrocystic_change	nci:Fibrotic_Stroma_Formation	0.9598850011825562
snomed:Adenoid_cystic_carcinoma	nci:Adenocarcinoid_Tumor_of_the_Appendix	0.9822263121604919
snomed:Adenocarcinoma_with_neuroendocrine_differentiation	nci:Adenocarcinoma_with_Neuroendocrine_Differentiation	1.000000238418579
snomed:Adenocarcinoma_of_appendix	nci:Appendix_Adenocarcinoma	0.9889989495277405
snomed:Endocrine_testis	nci:Appendix_Mixed_Endocrine-Exocrine_Neoplasm	0.9502753615379333
snomed:Mucoepidermoid_eccrine_carcinoma	nci:Goblet_Cell_Carcinoid_Tumor	0.9845221042633057
snomed:Adenomatoid_tumor	nci:Carcinoma	0.9798004031181335
snomed:Malignant_basal_cell_tumor	nci:Malignant_Squamous_Cell	0.9799284934997559
snomed:Trophoblastic_tumor_epithelioid	nci:Dysplastic_Glandular_Cell	0.9689639806747437
snomed:Adenocarcinoid_tumor	nci:Malignant_Epithelial_Cell	0.9722464680671692
snomed:Adenocarcinoma_with_neuroendocrine_differentiation	nci:Adenocarcinoma_Cell_with_Abundant_Cytoplasm	0.9436510801315308
snomed:Benign_neoplasm_of_mesothelial_tissue_of_pleura	nci:Neoplastic_Large_Cell_with_Abundant_Cytoplasm	0.9442567825317383
snomed:Adrenal_cortical_adenoma_clear_cell	nci:Adenocarcinoma_Clear_Cell	0.9741668105125427
snomed:Squamous_epithelial_cell	nci:Malignant_Epithelial_Clear_Cell	0.9646801948547363
snomed:Benign_neoplasm_with_eccrine_differentiation	nci:Neoplastic_Glandular_Cell_with_Clear_Cytoplasm	0.9484012126922607
snomed:Adenocarcinoma_endocervical_type	nci:Adenocarcinoma_Endocervical_Type	0.9791280627250671
snomed:Reactive_fibrous_tissue_proliferation	nci:Malignant_Glandular_Epithelium_Resembling_the_Endocervical_Epithelium_Present	0.9320285320281982
snomed:Granular_cell_carcinoma	nci:Adenocarcinoma_Granular_Cell	0.9710057377815247
snomed:Adenocarcinoma_in_adenomatous_polyp	nci:Adenocarcinoma_in_Adenomatous_Polyp	1.000000238418579
snomed:Adenocarcinoma_in_situ_in_a_polyp	nci:Carcinoma_in_a_Polyp	0.9786312580108643
snomed:Adenomatous_polyp	nci:Adenomatous_Polyp	0.9909036755561829
snomed:Adenocarcinoma_in_adenomatous_polyposis_coli	nci:Adenocarcinoma_in_Adenomatous_Polyposis_Coli	1.0
snomed:Adenocarcinoma_in_multiple_adenomatous_polyps	nci:Adenocarcinoma_in_Multiple_Adenomatous_Polyps	1.0
snomed:Familial_multiple_polyposis_syndrome	nci:Familial_Adenomatous_Polyposis	0.9755575656890869
snomed:Multiple_adenomatous_polyps	nci:Multiple_Adenomatous_Polyps	0.9999997615814209
snomed:Adenocarcinoma_in_villous_adenoma	nci:Adenocarcinoma_in_Tubular_Adenoma	0.9970524907112122
snomed:Tubular_adenoma	nci:Tubular_Adenoma	1.0
snomed:Adenocarcinoma_in_tubulovillous_adenoma	nci:Adenocarcinoma_in_Tubulovillous_Adenoma	0.9999999403953552
snomed:Tubulovillous_adenoma	nci:Tubulovillous_Adenoma	0.9999998807907104
snomed:Adenocarcinoma_in_villous_adenoma	nci:Adenocarcinoma_in_Villous_Adenoma	1.0000001192092896
snomed:Structure_of_tributary_of_splenic_vein	nci:Villous_Adenoma	1.0000001192092896
snomed:Adenocarcinoma_in_situ	nci:Adenocarcinoma_in_situ	1.0
snomed:Carcinoma_in_situ	nci:Carcinoma_in_situ	0.9792624711990356
snomed:Adenocarcinoma_in_situ_in_adenomatous_polyp	nci:Adenocarcinoma_in_situ_in_Adenomatous_Polyp	1.0000001192092896
snomed:Adenocarcinoma_in_situ_in_a_polyp	nci:Adenocarcinoma_in_situ_in_a_Polyp	1.000000238418579
snomed:Adenocarcinoma_in_situ_in_villous_adenoma	nci:Adenocarcinoma_in_situ_in_Tubular_Adenoma	0.9978305697441101
snomed:Adenocarcinoma_in_situ_in_tubulovillous_adenoma	nci:Adenocarcinoma_in_situ_in_Tubulovillous_Adenoma	0.9999999403953552
snomed:Adenocarcinoma_in_situ_in_villous_adenoma	nci:Adenocarcinoma_in_situ_in_Villous_Adenoma	1.0
snomed:Adenocarcinoma_in_situ_in_a_polyp	nci:Carcinoma_in_situ_in_a_Polyp	0.9876288771629333
snomed:Adenocarcinoma_with_apocrine_metaplasia	nci:Adenocarcinoma_with_Apocrine_Metaplasia	1.0
snomed:Adenocarcinoma_with_metaplasia	nci:Adenocarcinoma_with_Metaplasia	0.9999998211860657
snomed:Apocrine_metaplasia	nci:Apocrine_Metaplasia	1.000000238418579
snomed:Adenocarcinoma_with_cartilaginous_and_osseous_metaplasia	nci:Adenocarcinoma_with_Cartilaginous_Metaplasia	0.9903404116630554
snomed:Adenocarcinoma_with_cartilaginous_and_osseous_metaplasia	nci:Adenocarcinoma_with_Cartilaginous_and_Osseous_Metaplasia	1.0
snomed:Cartilaginous_metaplasia	nci:Cartilagenous_Metaplasia	0.9999998807907104
snomed:Mesenchymal_hamartoma	nci:Mesenchymal_Metaplasia	0.9728556275367737
snomed:In_situ_melanocytic_morphology	nci:Metaplasia_of_Malignant_Cells_Present	0.9426711797714233
snomed:Gonadal_endocrine_structure	nci:Neuroendocrine_Differentiation	0.966601550579071
snomed:Adenocarcinoma_with_cartilaginous_and_osseous_metaplasia	nci:Adenocarcinoma_with_Osseous_Metaplasia	0.9911980032920837
snomed:Osseous_metaplasia	nci:Osseous_Metaplasia	0.9886669516563416
snomed:Adenocarcinoma_with_spindle_cell_metaplasia	nci:Adenocarcinoma_with_Spindle_Cell_Metaplasia	0.9999998807907104
snomed:Diffuse_high_grade_B_cell_lymphoma_morphology	nci:Spindle_Cell_Metaplasia_of_Malignant_Cells_Present	0.9455037713050842
snomed:Adenocarcinoma_with_squamous_metaplasia	nci:Adenocarcinoma_with_Squamous_Metaplasia	0.9851022958755493
snomed:Squamous_cell_atypia	nci:Squamous_Metaplasia_of_Malignant_Cells_Present	0.9533796906471252
snomed:Adenomyoma	nci:Adenofibroma	0.9846005439758301
snomed:Benign_genital_neoplasm	nci:Benign_Female_Reproductive_System_Neoplasm	0.9862337112426758
snomed:Benign_melanocytic_neoplasm	nci:Neoplastic_Glandular_Cell	0.9702285528182983
