Entity1	Entity2	Value
snomed:Stone_constituent	nci:Anatomy_Kind	0.9388878726216613
snomed:Cognitive_function_feature	nci:Biological_Process_Kind	0.9430371662552798
snomed:Drugs_used_to_treat_addiction	nci:Chemicals_and_Drugs_Kind	0.9448775319520233
snomed:Silicone_product	nci:Gene_Product_Kind	0.9411493992808697
snomed:Abnormal_cell_structure	nci:Abnormal_Cell_Kind	0.9759617192474598
snomed:Absence_findings	nci:Findings_and_Disorders_Kind	0.911218421426376
snomed:Suspected_chromosome_abnormality	nci:Molecular_Abnormality_Kind	0.9539322944706421
snomed:Family_Taxaceae	nci:Properties_or_Attributes_Kind	0.9241825977671481
snomed:Gene	nci:Gene_Kind	0.9590253751315574
snomed:Organism	nci:Organism_Kind	0.9573962897186703
snomed:Histopathology_interpretation	nci:Diagnostic_and_Prognostic_Factors_Kind	0.9209760917438988
snomed:Therapeutic_intent	nci:Pathway_Kind	0.9436193551763173
snomed:Acquired_immunodeficiency_syndrome_AIDS_with_Salmonella_infection	nci:AIDS	0.9836444952810394
snomed:T_lymphocyte_immunodeficiency	nci:T-Cell_Immunodeficiency	0.9880452477650532
snomed:Azure_A_stain	nci:AKT_Signaling_Pathway	0.9431419380154968
snomed:Complement_activation_pathway_function	nci:Signaling_Pathways	0.9443979953131246
snomed:Ergot_alkaloid_measurement	nci:ALK_Pathway	0.9612574423264448
snomed:Cell_destruction_function	nci:Cell_Differentiation_or_Development_Pathway	0.9462246764344974
snomed:Proton_pump_inhibitor_overdose	nci:APC_Tumor-Suppressor_Gene_Inactivation	0.9521397155310473
snomed:Monoclonal_gene_rearrangement	nci:Tumor-Suppressor_Gene_Inactivation	0.9557531372788269
snomed:Gonad_sample	nci:APUD_Cell	0.9641560903647067
snomed:Somatic_stem_cell	nci:Neural_Crest-Derived_Cell	0.9621773209253256
snomed:Abdominal	nci:Abdominal	1.0
snomed:Treatment_intent	nci:Anatomy_Modifier	0.9387089241821539
snomed:Abdominal_aorta_structure	nci:Abdominal_Aorta	0.9823783681284654
snomed:Aortic_body	nci:Aortic_Segment	0.9770359261520616
snomed:Abdominal	nci:Abdominal_Cavity	0.9727089885653503
snomed:Descending_aorta_structure	nci:Descending_Aorta	0.980278586942261
snomed:Abdominal_aorta_structure	nci:Abdominal_Aorta_Branch	0.9835329743887977
snomed:Arterial_feature	nci:Artery	0.9568456899249124
snomed:Carcinomatosis	nci:Abdominal_Carcinomatosis	0.9806206574129892
snomed:Carcinomatosis	nci:Carcinomatosis	1.0
snomed:Secondary_malignant_neoplasm_of_the_peritoneum	nci:Metastatic_Neoplasm_to_the_Peritoneum	0.98146335189292
snomed:Body_cavity_region	nci:Cavity	0.9515461906328568
snomed:Abdominal_esophagus_structure	nci:Abdominal_Esophagus	0.9821812321012839
snomed:Entire_body_region	nci:Body_Region	0.9654149648872993
snomed:Esophagus_injection	nci:Esophagus	0.9800001813974363
snomed:Abdominal_mass	nci:Abdominal_Mass	1.0000000000000009
snomed:Mass	nci:Mass	0.9999999999999996
snomed:Abdominal_structure	nci:Abdominal_Muscle	0.974212922484877
snomed:Friction	nci:Muscle	0.9503121671938026
snomed:Abdominal_pain	nci:Abdominal_Pain	0.9942577296239294
snomed:Pain	nci:Pain	0.999999999999999
snomed:Skin_tissue	nci:Abdominal_Skin	0.9721284743692814
snomed:Skin_structure_of_trunk	nci:Skin_of_the_Trunk	0.9850828298466949
snomed:Abducens_nerve_structure	nci:Abducens_Nerve	0.9812372522664848
snomed:Cranial_nerve_structure	nci:Cranial_Nerve	0.9778716760764694
snomed:Abducens_nerve_disorder	nci:Abducens_Nerve_Disorder	0.9886580906269671
snomed:Cranial_nerve_disorder	nci:Cranial_Nerve_Disorder	0.9990325816923554
snomed:Neoplasm_of_abducens_nerve	nci:Abducens_Nerve_Neoplasm	0.9840459940827948
snomed:Neoplasm_of_cranial_nerve	nci:Cranial_Nerve_Neoplasm	0.9928885956379927
snomed:Abducens_nerve_structure	nci:Abducens_Nucleus	0.9802151132083137
snomed:Brain_structure	nci:Brain_Nucleus	0.98194323624216
snomed:Pons_part	nci:Pons_Varolii	0.9716266704950914
snomed:Sympathetic_nerve_injury	nci:Abducent_Nerve_Paralysis	0.9740753420304751
snomed:Cranial_nerve_compression	nci:Cranial_Nerve_Paralysis	0.9873492110086621
snomed:Structure_of_abductor_pollicis_longus_muscle	nci:Abductor_Pollicis_Longus	0.9746998631860433
snomed:Negative_hematology_findings	nci:Abnormal_Blood_and_Hematology_Test_Result	0.9596753139169352
snomed:Laboratory_test_result_abnormal	nci:Abnormal_Laboratory_Test	0.9736351378105841
snomed:Bone_marrow_specimen	nci:Abnormal_Bone_Marrow_Test_Result	0.9629797790043498
snomed:Abnormal_hematology_findings	nci:Abnormal_Hematology_Test_Result	0.976395393469795
snomed:Abnormal_cell	nci:Abnormal_Cell	1.0000000000000004
snomed:Pons_part	nci:EO_Anatomy_Kind	0.9557367781321054
snomed:Device_form	nci:Equipment_Kind	0.9442432727457455
snomed:Structure_of_superior_ophthalmic_vein	nci:NCI_Kind	0.9679058700967498
snomed:Abnormal_cell_structure	nci:Abnormal_Cells_Present	0.9545344215427858
snomed:Morphologic_finding	nci:Morphologic_Finding	0.9999999999999993
snomed:Connective_tissue_structure	nci:Abnormal_Connective_and_Soft_Tissue_Cell	0.9632452945051159
snomed:Structure_of_cytotrophoblast	nci:Abnormal_Cytotrophoblastic_Cell	0.9787626529560205
snomed:Trophoblast_structure	nci:Abnormal_Trophoblastic_Cell	0.9704479536040268
snomed:Endothelial_cell	nci:Abnormal_Endothelial_Cell	0.969063610818433
snomed:Transitional_epithelial_cell	nci:Abnormal_Epithelial_Cell	0.9783792554777032
snomed:Mixed_germ_cell_tumor	nci:Abnormal_Germ_Cell	0.9582996798303068
snomed:Glandular_cell_atypia	nci:Abnormal_Glandular_Cell	0.9631256236916974
snomed:Hematopoietic_system_finding	nci:Hematopoietic_System_Finding	1.0
snomed:Abnormal_hematopoietic_cell	nci:Abnormal_Hematopoietic_Cell	0.9748482815155095
snomed:Immunology_laboratory_test	nci:Abnormal_Immunology_Test_Result	0.9745511726711222
snomed:Trophoblastic_tumor_epithelioid	nci:Abnormal_Intermediate_Type_Trophoblastic_Cell	0.9629171918021943
snomed:Abnormal_keratinization	nci:Abnormal_Keratinocyte	0.9809071424421781
snomed:Benign_squamous_cell_tumor	nci:Abnormal_Squamous_Cell	0.9813474023179014
snomed:Laboratory_test_finding	nci:Lab_Finding	0.9685778998101344
snomed:Thymic_lymphocyte	nci:Abnormal_Lymphocyte	0.9689450621348349
snomed:Abnormal_macrophage	nci:Abnormal_Macrophage	1.0000000000000009
snomed:Mesothelial_cell	nci:Abnormal_Mesothelial_Cell	0.9766339547973583
snomed:Myoepithelial_cell	nci:Abnormal_Myoepithelial_Cell	0.980031620640629
snomed:Structure_of_syncytial_trophoblast	nci:Abnormal_Syncytiotrophoblastic_Cell	0.9706199811625754
snomed:Abnormal_cell_structure	nci:Abnormal_Tissue_Present	0.9345696186159677
snomed:Abnormal_cell	nci:Abnormal_Transitional_Cell	0.9653031276146478
snomed:Structure_of_cavity_of_tooth	nci:Abnormal_Urine_Test_Result	0.9652951501500702
snomed:Status_of_invasion_by_tumor	nci:Absence_of_Invasion	0.9496059570525
snomed:Superficial_palmar_arch_structure	nci:Absence_of_Invasion_or_Limited_Invasion_Present	0.9417095013664387
snomed:Benign_stromal_tumor	nci:Absence_of_Stromal_Invasion	0.9602968408501635
snomed:Congenital_absence_of_parathyroid_gland	nci:Absence_of_a_Hormonal_Syndrome	0.9525506416353223
snomed:Endocrine_system_manipulation	nci:Endocrine_System_Finding	0.9884209266138618
snomed:Acantholysis	nci:Acantholysis	1.0000000000000002
snomed:Acantholytic_acanthoma	nci:Acantholytic_Acanthoma	1.0000000000000004
snomed:Acanthosis	nci:Acanthoma	0.9863549843013726
snomed:Skin_nodule	nci:Skin_Nodule	0.9895404229891438
snomed:Papule	nci:Skin_Papules	0.9818311490990658
snomed:Keratinocyte	nci:Keratinocyte	0.9989056725490244
snomed:Acantholytic_squamous_cell_carcinoma_of_skin	nci:Acantholytic_Squamous_Cell_Skin_Carcinoma	0.9990878200068171
snomed:Squamous_cell_carcinoma_keratinizing	nci:Keratinizing_Squamous_Cell_Carcinoma	0.9898649860659577
snomed:Squamous_cell_carcinoma_of_skin	nci:Skin_Squamous_Cell_Carcinoma	0.9932759799383775
snomed:Skin_plaque	nci:Skin_Plaques	1.0000000000000002
snomed:Skin_ulcer	nci:Skin_Ulcer	0.9999999999999993
snomed:Benign_epithelial_neoplasm_of_skin	nci:Benign_Epithelial_Skin_Neoplasm	0.9844891987077228
snomed:Hair_follicle_structure	nci:Hair_Follicle_Infundibulum	0.9647454895614982
snomed:Keratinocyte	nci:Neoplastic_Keratinocyte	0.9785051690581393
snomed:Acanthosis	nci:Acanthosis	1.0000000000000004
snomed:Accessory_nerve_structure	nci:Accessory_Nerve	0.9814323618117367
snomed:Nucleus_accumbens	nci:Accumbens_Nucleus	0.9591280605764719
snomed:Acetarsone	nci:Acetabulum	0.9668530758995206
snomed:Joint_structure_of_shoulder_girdle	nci:Joint_of_the_Pelvic_Girdle	0.963132647166204
snomed:Achilles_tendinitis	nci:Achilles_Tendon	0.9778574692207384
snomed:Tendon_structure	nci:Tendon	0.9666379055642129
snomed:Acute_neutrophilia	nci:Acidophilic_Cell	0.9564566790726495
snomed:Adenohypophysis_structure	nci:Adenohypophysial_Cell	0.964583611838269
