Entity1	Entity2	Value
snomed:Natamycin	nci:Anatomy_Kind	0.5833333333333333
snomed:Pathological_process	nci:Biological_Process_Kind	0.6086956521739131
snomed:Chemical_compound	nci:Chemicals_and_Drugs_Kind	0.5
snomed:Acne_product	nci:Gene_Product_Kind	0.5882352941176471
snomed:Abnormal_cell	nci:Abnormal_Cell_Kind	0.7222222222222222
snomed:Finding_of_shoulder_joint	nci:Findings_and_Disorders_Kind	0.5185185185185186
snomed:Molecular_conformation	nci:Molecular_Abnormality_Kind	0.6153846153846154
snomed:Operation_on_intestine	nci:Properties_or_Attributes_Kind	0.48275862068965514
snomed:Gender_finding	nci:Gene_Kind	0.5714285714285714
snomed:Organism	nci:Organism_Kind	0.6153846153846154
snomed:Diagnostic_arthroscopy_of_joint	nci:Diagnostic_and_Prognostic_Factors_Kind	0.5
snomed:Patient_died	nci:Pathway_Kind	0.5
snomed:Acquired_immune_deficiency_syndrome_AIDS	nci:AIDS	0.925
snomed:T_lymphocyte_immunodeficiency	nci:T-Cell_Immunodeficiency	0.6896551724137931
snomed:Conducting_pathway	nci:AKT_Signaling_Pathway	0.5238095238095238
snomed:Signal_transduction_function	nci:Signaling_Pathways	0.7142857142857143
snomed:Cardiac_myocyte	nci:ALK_Pathway	0.6521739130434783
snomed:Preferential_interatrial_pathway	nci:Cell_Differentiation_or_Development_Pathway	0.4418604651162791
snomed:Abdomen_incision	nci:APC_Tumor-Suppressor_Gene_Inactivation	0.5238095238095238
snomed:Tumor_suppressor_protein	nci:Tumor-Suppressor_Gene_Inactivation	0.5588235294117647
snomed:Blood_cell	nci:APUD_Cell	0.6
snomed:Neural_crest	nci:Neural_Crest-Derived_Cell	0.48
snomed:Abdominal	nci:Abdominal	1.0
snomed:Anatomical_orifice	nci:Anatomy_Modifier	0.5
snomed:Abdominal_organ	nci:Abdominal_Aorta	0.8
snomed:ST_segment	nci:Aortic_Segment	0.6428571428571428
snomed:Abdominal_colic	nci:Abdominal_Cavity	0.75
snomed:Descending	nci:Descending_Aorta	0.625
snomed:Abdominal_aortogram	nci:Abdominal_Aorta_Branch	0.7272727272727273
snomed:Material	nci:Artery	0.75
snomed:Abdominal_actinomycosis	nci:Abdominal_Carcinomatosis	0.7916666666666666
snomed:Carcinomatosis	nci:Carcinomatosis	1.0
snomed:Secondary_malignant_neoplasm_of_the_peritoneum	nci:Metastatic_Neoplasm_to_the_Peritoneum	0.7872340425531915
snomed:City	nci:Cavity	0.6666666666666667
snomed:Abdominal_esophagostomy	nci:Abdominal_Esophagus	0.782608695652174
snomed:Back_region	nci:Body_Region	0.7272727272727273
snomed:Gastrointestinal_tract_repair	nci:Esophagus	0.7575757575757576
snomed:Abdominal_mass	nci:Abdominal_Mass	1.0
snomed:Mass	nci:Mass	1.0
snomed:Abdominal_mass	nci:Abdominal_Muscle	0.75
snomed:Uncle	nci:Muscle	0.6666666666666667
snomed:Abdominal_pain	nci:Abdominal_Pain	1.0
snomed:Pain	nci:Pain	1.0
snomed:Abdominal_pain	nci:Abdominal_Skin	0.8571428571428572
snomed:Burn_of_trunk	nci:Skin_of_the_Trunk	0.7692307692307692
snomed:Cranial_nerve_part	nci:Abducens_Nerve	0.7777777777777778
snomed:Cranial_nerve_part	nci:Cranial_Nerve	0.7222222222222222
snomed:Abducens_nerve_disorder	nci:Abducens_Nerve_Disorder	1.0
snomed:Cranial_nerve_disorder	nci:Cranial_Nerve_Disorder	1.0
snomed:Neoplasm_of_abducens_nerve	nci:Abducens_Nerve_Neoplasm	1.0
snomed:Neoplasm_of_cranial_nerve	nci:Cranial_Nerve_Neoplasm	1.0
snomed:Pontine_cranial_nerve_nucleus	nci:Abducens_Nucleus	0.7931034482758621
snomed:Midbrain_nucleus	nci:Brain_Nucleus	0.8125
snomed:tons	nci:Pons_Varolii	0.75
snomed:Abducens_nerve_palsy	nci:Abducent_Nerve_Paralysis	0.75
snomed:Cranial_nerve_part	nci:Cranial_Nerve_Paralysis	0.7391304347826086
snomed:Structure_of_abductor_pollicis_longus_muscle	nci:Abductor_Pollicis_Longus	0.5454545454545454
snomed:Abnormal_biochemistry_findings	nci:Abnormal_Blood_and_Hematology_Test_Result	0.47058823529411764
snomed:Abnormal_laboratory_findings	nci:Abnormal_Laboratory_Test	0.7142857142857143
snomed:Abnormal_blood_pressure	nci:Abnormal_Bone_Marrow_Test_Result	0.5
snomed:Abnormal_hematology_findings	nci:Abnormal_Hematology_Test_Result	0.6774193548387097
snomed:Abnormal_cell	nci:Abnormal_Cell	1.0
snomed:Ear_and_auditory_finding	nci:EO_Anatomy_Kind	0.5
snomed:Vimentin	nci:Equipment_Kind	0.5
snomed:Nail_finding	nci:NCI_Kind	0.5
snomed:Blast_cells_present	nci:Abnormal_Cells_Present	0.6818181818181819
snomed:Morphologic_finding	nci:Morphologic_Finding	1.0
snomed:Benign_neoplasm_of_connective_and_soft_tissue_NOS	nci:Abnormal_Connective_and_Soft_Tissue_Cell	0.6122448979591837
snomed:Abnormal_hematopoietic_cell	nci:Abnormal_Cytotrophoblastic_Cell	0.6774193548387097
snomed:Abnormal_hematopoietic_cell	nci:Abnormal_Trophoblastic_Cell	0.6666666666666667
snomed:Reticuloendothelial_cell	nci:Abnormal_Endothelial_Cell	0.6799999999999999
snomed:Columnar_epithelial_cell	nci:Abnormal_Epithelial_Cell	0.7083333333333333
snomed:Abnormal_cell	nci:Abnormal_Germ_Cell	0.7222222222222222
snomed:Abnormal_globulin_level	nci:Abnormal_Glandular_Cell	0.6521739130434783
snomed:Hematopoietic_system_finding	nci:Hematopoietic_System_Finding	1.0
snomed:Abnormal_hematopoietic_cell	nci:Abnormal_Hematopoietic_Cell	0.675
snomed:Abnormal_hematology_findings	nci:Abnormal_Immunology_Test_Result	0.5483870967741935
snomed:Abnormal_hematopoietic_cell	nci:Abnormal_Intermediate_Type_Trophoblastic_Cell	0.5333333333333333
snomed:Abnormal_keratinization	nci:Abnormal_Keratinocyte	0.7391304347826086
snomed:Abnormal_red_blood_cell	nci:Abnormal_Squamous_Cell	0.6521739130434783
snomed:Laboratory_test_finding	nci:Lab_Finding	0.782608695652174
snomed:Atypical_lymphocyte	nci:Abnormal_Lymphocyte	0.736842105263158
snomed:Abnormal_macrophage	nci:Abnormal_Macrophage	1.0
snomed:Abnormal_red_blood_cell	nci:Abnormal_Mesothelial_Cell	0.64
snomed:Myoepithelial_cell	nci:Abnormal_Myoepithelial_Cell	0.6666666666666667
snomed:Abnormal_hematopoietic_cell	nci:Abnormal_Syncytiotrophoblastic_Cell	0.6
snomed:Abnormal_pulse_rate	nci:Abnormal_Tissue_Present	0.6086956521739131
snomed:Abnormal_red_blood_cell	nci:Abnormal_Transitional_Cell	0.6153846153846154
snomed:Abnormal_urinary_product	nci:Abnormal_Urine_Test_Result	0.6153846153846154
snomed:Absence_of_sensation	nci:Absence_of_Invasion	0.8
snomed:Absence_of_inferior_vena_cava	nci:Absence_of_Invasion_or_Limited_Invasion_Present	0.44680851063829785
snomed:Absence_of_sensation	nci:Absence_of_Stromal_Invasion	0.6296296296296297
snomed:Acute_coronary_syndrome	nci:Absence_of_a_Hormonal_Syndrome	0.5333333333333333
snomed:Endocrine_system_incision	nci:Endocrine_System_Finding	0.76
snomed:Acantholysis	nci:Acantholysis	1.0
snomed:Acantholytic_acanthoma	nci:Acantholytic_Acanthoma	1.0
snomed:Acanthosis	nci:Acanthoma	0.7
snomed:Skin_nodule	nci:Skin_Nodule	1.0
snomed:Skin_nodule	nci:Skin_Papules	0.7272727272727273
