Entity1	Entity2	Value
snomed:AMINO_ACID_PREPARATION	nci:Amino_Acid_Derivative	0.9674341082572937
snomed:Veterinary_proprietary_drug_AND_OR_biological	nci:Properties_or_Attributes	0.821916937828064
snomed:Abdomen_and_or_pelvis_structure	nci:Abdominal_Cavity	0.9378520250320435
snomed:Chest_and_or_abdomen_and_or_pelvis_structure	nci:Head_of_the_Pancreas	0.9078195691108704
snomed:Neck_and_or_chest_and_or_abdomen_and_or_pelvis	nci:Axillary_Tail_of_the_Breast	0.8729234933853149
snomed:Abdomen_repair	nci:Corynebacterium_Granulosum	0.9464821219444275
snomed:Operation_on_abdominal_region	nci:Open_Biopsy_of_Kidney	0.9355200529098511
snomed:Trunk_repair	nci:Apicoectomy	0.9398524165153503
snomed:Repairaction	nci:Oxidation-Reduction	0.9257175922393799
snomed:Abdominal_structure	nci:Abdominal_Muscle	0.9564071893692017
snomed:Abdominal	nci:Abdominal	1.0
snomed:Regional_site_descriptor	nci:Mouse_Disorder_by_Site	0.9374178647994995
snomed:Abdominal_and_pelvic_vascular_structure	nci:Vascular_Endothelium	0.9294112920761108
snomed:Vascular_structure_of_trunk	nci:Connective_Tissue_Component_of_the_Peripheral_Nerve	0.9309216737747192
snomed:Abdominal_aorta_finding	nci:Chronic_Salpingitis	0.9409621357917786
snomed:General_finding_of_abdomen	nci:Unifocal_Disease_at_Presentation	0.9314161539077759
snomed:Systemic_arterial_finding	nci:Hematopoietic_System_Finding	0.9361037015914917
snomed:Abdominal_aorta_structure	nci:Abdominal_Aorta_Branch	0.9620968699455261
snomed:Descending_aorta_structure	nci:Ascending_Aorta_Branch	0.9631228446960449
snomed:Retroperitoneal_structure	nci:Retroperitoneum	0.9732730388641357
snomed:Structure_of_artery_of_abdomen	nci:Dome_of_the_Bladder	0.9323525428771973
snomed:Abdominal_aortic_plexus_structure	nci:Ascending_Spinal_Cord_Tract	0.9479662775993347
snomed:Abdominal_plexus	nci:Sacral_Plexus	0.9552085995674133
