Entity1	Entity2	Value
snomed:AMINO_ACID_PREPARATION	nci:Amino_Acid_Derivative	0.9793439126074429
snomed:Veterinary_proprietary_drug_AND_OR_biological	nci:Drugs_and_Chemicals	0.9159927084155992
snomed:Abdomen_and_or_pelvis_structure	nci:Pelvis	0.9543099155333998
snomed:Chest_and_or_abdomen_and_or_pelvis_structure	nci:Pelvis	0.9233960832961585
snomed:Neck_and_or_chest_and_or_abdomen_and_or_pelvis	nci:Head_and_Neck	0.9031919735960178
snomed:Abdomen_repair	nci:Wound_Repair	0.965491518897158
snomed:Operation_on_abdominal_region	nci:Thoracotomy	0.958228222670036
snomed:Trunk_repair	nci:Cast_Formation	0.9481001573668337
snomed:Repairaction	nci:Benign_Outer_Hair_Sheath_and_Infundibulum_Neoplasm	0.9510824780857087
snomed:Abdominal_structure	nci:Abdominal_Muscle	0.974212922484877
snomed:Abdominal	nci:Abdominal	1.0
snomed:Regional_site_descriptor	nci:Liniment_Dosage_Form	0.9476811115433106
snomed:Abdominal_and_pelvic_vascular_structure	nci:Pelvic_Floor_Muscle	0.9547543723059269
snomed:Vascular_structure_of_trunk	nci:Skin_of_the_Trunk	0.9557306119526564
snomed:Abdominal_aorta_finding	nci:Abdominal_Aorta_Branch	0.9700392932456612
snomed:General_finding_of_abdomen	nci:Fundus_of_the_Stomach	0.9427166502168
snomed:Systemic_arterial_finding	nci:Blood_Circulation	0.947334618738398
snomed:Abdominal_aorta_structure	nci:Abdominal_Aorta_Branch	0.9835329743887977
snomed:Descending_aorta_structure	nci:Ascending_Aorta_Branch	0.9826713016321327
snomed:Retroperitoneal_structure	nci:Retroperitoneum	0.9913869132046034
snomed:Structure_of_artery_of_abdomen	nci:Dome_of_the_Bladder	0.9524740532026498
snomed:Abdominal_aortic_plexus_structure	nci:Abdominal_Aorta_Branch	0.9662669599800319
snomed:Abdominal_plexus	nci:Sacral_Plexus	0.9738736393445518
snomed:Structure_of_lumbar_portion_of_sympathetic_nervous_system	nci:Dorsal_Horn_of_the_Spinal_Cord	0.9622141588265645
snomed:Abdominal_artery_repair	nci:Meningeal_Cyst	0.9657457300319559
snomed:Procedure_on_artery_of_abdomen	nci:Thoracotomy	0.9438472635135067
snomed:Repair_of_artery_of_thorax_and_abdomen	nci:Thoracotomy	0.9520770687522144
snomed:Vascular_surgery_procedure_on_abdominal_region	nci:Biopsy_of_Temporal_Artery	0.9611175285286948
snomed:Abdominal_cavity_operation	nci:Abdominal_Cavity	0.9671927300360189
snomed:Surgical_action	nci:Surgical_Procedure	0.9739179645160307
snomed:Abdominal_cavity_structure	nci:Abdominal_Cavity	0.9581487630999386
