Entity1	Entity2	Value
snomed:AMINO_ACID_PREPARATION	nci:Antacid_Preparation	0.8181818181818181
snomed:Veterinary_proprietary_drug_AND_OR_biological	nci:Hereditary_Renal_Papillary_Carcinoma	0.4444444444444444
snomed:Abdomen_and_or_pelvis_structure	nci:Protein_Sequence	0.5161290322580645
snomed:Chest_and_or_abdomen_and_or_pelvis_structure	nci:Intracranial_Hemangioma	0.4545454545454546
snomed:Neck_and_or_chest_and_or_abdomen_and_or_pelvis	nci:Renal_Pelvis_Neoplasm	0.4347826086956522
snomed:Abdomen_repair	nci:Abdominal_Pain	0.6428571428571428
snomed:Operation_on_abdominal_region	nci:Pineal_Region_Teratoma	0.5862068965517242
snomed:Trunk_repair	nci:Wound_Repair	0.75
snomed:Repairaction	nci:Reproduction	0.6
snomed:Abdominal_structure	nci:DNA_Structure	0.6842105263157895
snomed:Abdominal	nci:Abdominal	1.0
snomed:Regional_site_descriptor	nci:Regional_Enteritis	0.5833333333333333
snomed:Abdominal_and_pelvic_vascular_structure	nci:Benign_Perivascular_Neoplasm	0.4871794871794872
snomed:Vascular_structure_of_trunk	nci:Vascular_Bone_Neoplasm	0.6296296296296297
snomed:Abdominal_aorta_finding	nci:Abdominal_Aorta_Branch	0.6956521739130435
snomed:General_finding_of_abdomen	nci:Dental_Bonding_Agent	0.5
snomed:Systemic_arterial_finding	nci:Nucleic_Acid_Binding	0.52
snomed:Abdominal_aorta_structure	nci:Abdominal_Aorta_Branch	0.6799999999999999
snomed:Descending_aorta_structure	nci:Descending_Aorta	0.6153846153846154
snomed:Retroperitoneal_structure	nci:Retroperitoneum	0.76
snomed:Structure_of_artery_of_abdomen	nci:Anterior_Tongue_Neoplasm	0.4666666666666667
snomed:Abdominal_aortic_plexus_structure	nci:Abdominal_Aortic_Aneurysm	0.6060606060606061
snomed:Abdominal_plexus	nci:Abdominal_Mass	0.6875
snomed:Structure_of_lumbar_portion_of_sympathetic_nervous_system	nci:Neuroblastomas_of_the_Adrenal_Gland_and_Sympathetic_Nervous_System	0.5692307692307692
snomed:Abdominal_artery_repair	nci:Abdominal_Aorta	0.5652173913043479
snomed:Procedure_on_artery_of_abdomen	nci:Premature_Separation_of_Placenta	0.4375
snomed:Repair_of_artery_of_thorax_and_abdomen	nci:Connective_and_Soft_Tissue_Neoplasm	0.42105263157894735
snomed:Vascular_surgery_procedure_on_abdominal_region	nci:Auricular_Route_of_Drug_Administration	0.4782608695652174
snomed:Abdominal_cavity_operation	nci:Abdominal_Cavity	0.6153846153846154
snomed:Surgical_action	nci:Surgical_Incision	0.7647058823529411
snomed:Abdominal_cavity_structure	nci:Abdominal_Cavity	0.6153846153846154
snomed:Abdominal_cavity_proper_structure	nci:Abdominal_Surgical_Procedures	0.5151515151515151
snomed:Body_cavity_structure	nci:DNA_Structure	0.5714285714285714
snomed:Abdominal_esophagus_structure	nci:Abdominal_Esophagus	0.6551724137931034
snomed:Intra_abdominal_digestive_structure	nci:Abdominal_Fibromatosis	0.6285714285714286
snomed:Structure_of_abdominal_viscus	nci:Superficial_Abdominal_Muscle	0.48275862068965514
snomed:Structure_of_lower_third_of_esophagus	nci:Malignant_Neoplasm_of_the_Lower_Third_of_the_Esophagus	0.6976744186046512
snomed:Abdominal_ganglion	nci:Trigeminal_Ganglion	0.736842105263158
snomed:Sympathetic_ganglion_structure	nci:Sympathetic_Ganglion	0.6666666666666667
