Class-IRI	Class-Text
fma:Primitive_erythroblast	basophilic erythroblast <sep> basophilic normoblast <sep> early erythroblast <sep> early normoblast <sep> primitive erythroblast
fma:Totipotent_neuroepithelial_stem_cell	totipotent neuroepithelial stem cell
fma:Axillary_nerve	axillary nerve <sep> circumflex humeral nerve <sep> nervus axillaris
fma:Brachiocephalic_artery	brachiocephalic artery <sep> brachiocephalic trunk <sep> innominate artery <sep> truncus brachiocephalicus
fma:Pulmonary_acinus	primary pulmonary lobule <sep> pulmonary acinus <sep> acinus pulmonaris <sep> arbor alveolaris <sep> lobulus pulmonis primarius
fma:Papillary_muscle	papillary muscle <sep> papillary muscle of ventricle <sep> musculus papillaris
fma:Fetal_heart	fetal heart
fma:Endometrium	endometrium <sep> tunica mucosa (endometrium) <sep> tunica mucosa uteri
fma:Osteoclast	osteoclast
fma:Alveolar_sac	alveolar sac <sep> sacculus alveolaris
fma:Extensor_digitorum_longus	extensor digitorum longus <sep> musculus extensor digitorum longus
fma:Third_ventricle	third ventricle <sep> ventriculus tertius
fma:Set_of_trabeculae_of_lymph_node	set of trabeculae of lymph node <sep> trabeculae of lymph node <sep> trabeculae nodi lymphoidei
fma:Outer_nuclear_membrane	membrana nuclearis externa <sep> nuclear outer membrane <sep> outer lipid bilayer of nucleus <sep> outer nuclear membrane
fma:Set_of_hamstring_muscles	hamstring muscles <sep> hamstring muscles set <sep> hamstrings <sep> set of hamstring muscles
fma:Ulna	ulna
fma:Nasolacrimal_duct	nasolacrimal duct <sep> ductus nasolacrimalis
fma:Eosinophil	eosinophil <sep> eosinophil leucocyte <sep> eosinophil leukocyte
fma:Surface	2-d entity <sep> surface
fma:Quadratus_lumborum	muscle of posterior abdominal wall <sep> quadratus lumborum <sep> musculus quadratus lumborum
fma:Hippocampus	ammon's horn <sep> hippocampus <sep> hippocampus major <sep> hippocampus proper <sep> cornu ammonis <sep> hippocampus proprius
fma:Middle_cerebral_artery	middle cerebral artery <sep> sylvian artery <sep> arteria cerebri media
fma:Selectin	selectin
fma:Intermediate	intermediate
fma:Celiac_trunk	celiac trunk <sep> coeliac trunk <sep> coeliaco-mesenteric trunk <sep> haller's tripus <sep> truncus coeliacus
fma:Phalanx_of_finger	bone of finger <sep> hand phalanx <sep> phalanx of finger <sep> phalanx of hand
fma:Left_renal_artery	left renal arterial tree <sep> left renal artery
fma:Trochlear_nerve	fourth cranial nerve <sep> superior oblique nerve <sep> trochlear nerve <sep> trochlear nerve [iv] <sep> trochlear nerve tree <sep> nerve iv <sep> nervus trochlearis <sep> nervus trochlearis [iv]
fma:Nose	nose <sep> nasus
fma:Set_of_duodenal_glands	brunner's glands <sep> duodenal glands <sep> duodenal glands set <sep> set of duodenal glands <sep> glandulae duodenales
fma:Capsule_of_lens	capsule of lens <sep> lens capsule <sep> capsula lentis
fma:Medial_vestibular_nucleus	chief vestibular nucleus <sep> dorsal vestibular nucleus <sep> medial vestibular nucleus <sep> nucleus of schwalbe <sep> principal vestibular nucleus <sep> schwalbe's nucleus <sep> triangular nucleus <sep> nucleus triangularis <sep> nucleus vestibularis medialis
fma:Metanephros	metanephros
fma:Anterior_surface_of_prostate	anterior surface of prostate <sep> anterior surface of prostate gland <sep> facies anterior (prostatae) <sep> facies anterior prostatae
fma:Lysine	lysine
fma:Cymba_conchae_of_pinna	cymba conchae of auricle <sep> cymba conchae of pinna <sep> cymba conchae
