Entity-IRI	Entity-Lexicon
fma:Concept_name	concept name
fma:Part_of_relationship_value	part of relationship value
fma:Physical_anatomical_entity	physical anatomical entity
fma:Non_physical_anatomical_entity_template	non-physical anatomical entity template
fma:Anatomical_structure	anatomical structure <sep> biological structure
fma:Portion_of_body_substance	body substance <sep> portion of body substance
fma:Subdivision_of_genital_system	genital system subdivision <sep> subdivision of genital system
fma:Subdivision_of_hemolymphoid_system	hemolymphoid system subdivision <sep> subdivision of hemolymphoid system
fma:Subdivision_of_nervous_system	nervous system subdivision <sep> subdivision of nervous system
fma:Immaterial_anatomical_entity	immaterial anatomical entity <sep> immaterial physical anatomical entity
fma:Material_anatomical_entity	material anatomical entity
fma:Cell	cell <sep> normal cell <sep> cellula
fma:Endo_epithelial_cell	endo-epithelial cell
fma:Abdomen	abdomen <sep> abdominopelvic region <sep> abdominopelvis
fma:Subdivision_of_trunk_proper	subdivision of trunk proper
fma:Abdominal_aorta	abdominal aorta <sep> abdominal part of aorta <sep> descending abdominal aorta <sep> pars abdominalis aortae <sep> aorta abdominalis
fma:Segment_of_aorta	aortic segment <sep> segment of aorta
fma:Abdominal_cavity	abdominal cavity <sep> cavity of abdominal compartment <sep> cavity of compartment of abdomen <sep> space of abdominal compartment <sep> cavitas abdominalis <sep> cavitas abdominis
fma:Body_cavity_subdivision	body cavity subdivision
fma:Abdominal_lymph_node	abdominal lymph node <sep> lymph node of abdomen
fma:Deep_lymph_node	deep lymph node
fma:Abdominal_part_of_esophagus	abdominal esophagus <sep> abdominal part of esophagus <sep> abdominal part of oesophagus <sep> pars abdominalis (oesophagus) <sep> t11 part of esophagus <sep> pars abdominalis oesophageae
fma:Segment_of_esophagus	esophagus segment <sep> segment of esophagus
fma:Abducens_nerve	abducens nerve <sep> abducens nerve [vi] <sep> abducens nerve tree <sep> abducent nerve <sep> abducent nerve [vi] <sep> lateral rectus nerve <sep> nervus abducens <sep> sixth cranial nerve <sep> nerve vi <sep> nervus abducens [vi]
fma:Cranial_nerve	cranial nerve <sep> cranial neural tree organ <sep> nervus cranialis
