Class-IRI	Class-Text
nci:Anatomy_Kind	anatomy kind
nci:Biological_Process_Kind	biological process kind
nci:Chemicals_and_Drugs_Kind	chemicals and drugs kind
nci:Gene_Product_Kind	gene product kind
nci:Abnormal_Cell_Kind	abnormal cell kind
nci:Findings_and_Disorders_Kind	findings and disorders kind
nci:Molecular_Abnormality_Kind	molecular abnormality kind
nci:Properties_or_Attributes_Kind	properties or attributes kind
nci:Gene_Kind	gene kind
nci:Organism_Kind	organism kind
nci:Diagnostic_and_Prognostic_Factors_Kind	diagnostic and prognostic factors kind
nci:Pathway_Kind	pathway kind
nci:AIDS	aids <sep> aids, acquired immunodeficiency syndrome <sep> acquired immune deficiency <sep> acquired immunodeficiency syndrome <sep> acquired immunodeficiency syndrome, aids
nci:T-Cell_Immunodeficiency	t-cell immunodeficiency
nci:AKT_Signaling_Pathway	akt signaling pathway
nci:Signaling_Pathways	signal transduction pathway <sep> signaling pathway
nci:ALK_Pathway	alk pathway <sep> alk in cardiac myocytes
nci:Cell_Differentiation_or_Development_Pathway	cell differentiation or development pathway
nci:APC_Tumor-Suppressor_Gene_Inactivation	apc gene inactivation <sep> apc tumor-suppressor gene inactivation
nci:Tumor-Suppressor_Gene_Inactivation	tumor-suppressor gene inactivation
nci:APUD_Cell	apud cell <sep> apud cells
nci:Neural_Crest-Derived_Cell	neural crest-derived cell
nci:Abdominal	abdominal
nci:Anatomy_Modifier	anatomy qualifier <sep> anatomy qualifiers
nci:Abdominal_Aorta	abdominal aorta
nci:Aortic_Segment	aortic segment
nci:Abdominal_Cavity	abdomen <sep> abdominal cavity
nci:Descending_Aorta	descending aorta
nci:Abdominal_Aorta_Branch	abdominal aorta branch
nci:Artery	arterial <sep> artery
nci:Abdominal_Carcinomatosis	abdominal carcinomatosis <sep> carcinomatosis of the peritoneum <sep> peritoneal carcinomatosis
nci:Carcinomatosis	carcinomatosis
nci:Metastatic_Neoplasm_to_the_Peritoneum	metastasis to the peritoneum <sep> metastatic malignant neoplasm to the peritoneum <sep> metastatic neoplasm to the peritoneum
nci:Cavity	body cavity <sep> cavity
nci:Abdominal_Esophagus	abdominal esophagus
nci:Body_Region	anatomic region <sep> body region
nci:Esophagus	esophagus <sep> gastrointestinal tract, esophagus
nci:Abdominal_Mass	abdominal mass
nci:Mass	mass
nci:Abdominal_Muscle	abdominal muscle
nci:Muscle	muscle <sep> muscular
nci:Abdominal_Pain	abdominal pain <sep> pain, abdominal
nci:Pain	pain
nci:Abdominal_Skin	abdomen skin <sep> abdominal skin
nci:Skin_of_the_Trunk	skin of trunk <sep> skin of the trunk
nci:Abducens_Nerve	abducens nerve <sep> cranial nerve vi <sep> nervus abducens <sep> sixth cranial nerve
nci:Cranial_Nerve	cranial nerve
nci:Abducens_Nerve_Disorder	abducens nerve disorder <sep> vith nerve disorder
nci:Cranial_Nerve_Disorder	cranial nerve disease <sep> cranial nerve disorder
nci:Abducens_Nerve_Neoplasm	abducens nerve neoplasm <sep> abducens nerve neoplasms <sep> abducens nerve tumor <sep> abducens nerve tumors <sep> neoplasm of abducens nerve <sep> neoplasm of sixth cranial nerve <sep> neoplasm of the abducens nerve <sep> neoplasm of the sixth cranial nerve <sep> sixth cranial nerve neoplasm <sep> sixth cranial nerve neoplasms <sep> sixth cranial nerve tumor <sep> sixth cranial nerve tumors <sep> tumor of abducens nerve <sep> tumor of sixth cranial nerve <sep> tumor of the abducens nerve <sep> tumor of the sixth cranial nerve <sep> vith cranial nerve neoplasms <sep> vith cranial nerve tumors
nci:Cranial_Nerve_Neoplasm	cranial nerve neoplasm <sep> cranial nerve neoplasms <sep> cranial nerve tumor <sep> neoplasm of cranial nerve <sep> neoplasm of the cranial nerve <sep> tumor of cranial nerve <sep> tumor of the cranial nerve
nci:Abducens_Nucleus	abducens nucleus <sep> sixth cranial nerve nucleus
nci:Brain_Nucleus	brain nucleus
nci:Pons_Varolii	pons <sep> pons cerebelli <sep> pons varolii
nci:Abducent_Nerve_Paralysis	abducent nerve paralysis <sep> sixth nerve paralysis <sep> vith nerve paralysis
nci:Cranial_Nerve_Paralysis	cranial nerve paralysis
nci:Abductor_Pollicis_Longus	abductor pollicis longus
nci:Abnormal_Blood_and_Hematology_Test_Result	abnormal blood chemistry and hematology test result
nci:Abnormal_Laboratory_Test	abnormal lab test result <sep> abnormal laboratory test <sep> abnormal laboratory test result
nci:Abnormal_Bone_Marrow_Test_Result	abnormal bone marrow test result
nci:Abnormal_Hematology_Test_Result	abnormal hematology test result
nci:Abnormal_Cell	abnormal cell
nci:EO_Anatomy_Kind	eo anatomy kind
nci:Equipment_Kind	equipment kind
nci:NCI_Kind	nci kind
nci:Abnormal_Cells_Present	abnormal cells present
nci:Morphologic_Finding	morphologic finding
nci:Abnormal_Connective_and_Soft_Tissue_Cell	abnormal connective and soft tissue cell
nci:Abnormal_Cytotrophoblastic_Cell	abnormal cytotrophoblastic cell
nci:Abnormal_Trophoblastic_Cell	abnormal trophoblastic cell
nci:Abnormal_Endothelial_Cell	abnormal endothelial cell
nci:Abnormal_Epithelial_Cell	abnormal epithelial cell
nci:Abnormal_Germ_Cell	abnormal germ cell
nci:Abnormal_Glandular_Cell	abnormal glandular cell
nci:Hematopoietic_System_Finding	hematopoietic system finding
nci:Abnormal_Hematopoietic_Cell	abnormal hematopoietic and lymphoid cell
nci:Abnormal_Immunology_Test_Result	abnormal immunology test result
nci:Abnormal_Intermediate_Type_Trophoblastic_Cell	abnormal intermediate type trophoblastic cell <sep> atypical intermediate type trophoblastic cell
nci:Abnormal_Keratinocyte	abnormal keratinocyte
nci:Abnormal_Squamous_Cell	abnormal squamous cell
nci:Lab_Finding	lab findings <sep> laboratory finding <sep> labs
nci:Abnormal_Lymphocyte	abnormal lymphocyte
nci:Abnormal_Macrophage	abnormal macrophage
nci:Abnormal_Mesothelial_Cell	abnormal mesothelial cell
nci:Abnormal_Myoepithelial_Cell	abnormal myoepithelial cell
nci:Abnormal_Syncytiotrophoblastic_Cell	abnormal syncytiotrophoblastic cell
nci:Abnormal_Tissue_Present	abnormal tissue present
nci:Abnormal_Transitional_Cell	abnormal transitional cell
nci:Abnormal_Urine_Test_Result	abnormal urine test result
nci:Absence_of_Invasion	absence of invasion
nci:Absence_of_Invasion_or_Limited_Invasion_Present	absence of invasion or limited invasion present
nci:Absence_of_Stromal_Invasion	absence of stromal invasion
nci:Absence_of_a_Hormonal_Syndrome	absence of a hormonal syndrome
nci:Endocrine_System_Finding	endocrine system finding
nci:Acantholysis	acantholysis
nci:Acantholytic_Acanthoma	acantholytic acanthoma
nci:Acanthoma	acanthoma
nci:Skin_Nodule	cutaneous nodule <sep> nodule of skin <sep> nodule of the skin <sep> skin nodule
nci:Skin_Papules	papular lesion <sep> skin papule
nci:Keratinocyte	keratinocyte <sep> keratinocytes
nci:Acantholytic_Squamous_Cell_Skin_Carcinoma	acantholytic squamous cell carcinoma of skin <sep> acantholytic squamous cell carcinoma of the skin <sep> acantholytic squamous cell skin carcinoma
nci:Keratinizing_Squamous_Cell_Carcinoma	keratinizing squamous cell carcinoma
nci:Skin_Squamous_Cell_Carcinoma	cutaneous squamous cell carcinoma <sep> epidermoid carcinoma of skin <sep> epidermoid carcinoma of the skin <sep> epidermoid skin carcinoma <sep> skin squamous cell carcinoma <sep> squamous cell carcinoma of skin <sep> squamous cell carcinoma of the skin <sep> squamous cell skin carcinoma
nci:Skin_Plaques	skin plaque
nci:Skin_Ulcer	skin ulcer
nci:Benign_Epithelial_Skin_Neoplasm	benign epithelial skin neoplasm <sep> benign epithelial skin tumor <sep> benign skin epithelium neoplasm <sep> benign skin epithelium tumor
nci:Hair_Follicle_Infundibulum	hair follicle infundibulum
nci:Neoplastic_Keratinocyte	neoplastic keratinocyte
nci:Acanthosis	acanthosis
nci:Accessory_Nerve	accessory nerve <sep> eleventh cranial nerve <sep> spinal accessory nerve
nci:Accumbens_Nucleus	accumbens nucleus
nci:Acetabulum	acetabulum
nci:Joint_of_the_Pelvic_Girdle	joint of the pelvic girdle
nci:Achilles_Tendon	achilles tendon <sep> calcanean tendon
nci:Tendon	tendon <sep> tendons
nci:Acidophilic_Cell	acidophilic cell
nci:Adenohypophysial_Cell	adenohypophysial cell
nci:Acinar_Cell	acinar cell <sep> aciner cells
nci:Glandular_Cell	glandular cell
nci:Secretory_Cell	secretory cell
nci:Acinar_Cell_Adenoma	acinar adenoma <sep> acinar cell adenoma <sep> acinic cell adenoma
nci:Acinar_Cell_Neoplasm	acinar cell neoplasm <sep> acinar cell tumor
nci:Adenoma	adenoma
