Entity-IRI	Entity-Lexicon
snomed:AMINO_ACID_PREPARATION	amino acid preparation
snomed:Veterinary_proprietary_drug_AND_OR_biological	veterinary proprietary drug and or biological
snomed:Abdomen_and_or_pelvis_structure	abdomen and or pelvis structure
snomed:Chest_and_or_abdomen_and_or_pelvis_structure	chest and or abdomen and or pelvis structure
snomed:Neck_and_or_chest_and_or_abdomen_and_or_pelvis	neck and or chest and or abdomen and or pelvis
snomed:Abdomen_repair	abdomen repair
snomed:Operation_on_abdominal_region	operation on abdominal region
snomed:Trunk_repair	trunk repair
snomed:Repairaction	repair - action
snomed:Abdominal_structure	abdominal structure
snomed:Abdominal	abdominal
snomed:Regional_site_descriptor	regional site descriptor
snomed:Abdominal_and_pelvic_vascular_structure	abdominal and pelvic vascular structure
snomed:Vascular_structure_of_trunk	vascular structure of trunk
snomed:Abdominal_aorta_finding	abdominal aorta finding
snomed:General_finding_of_abdomen	general finding of abdomen
snomed:Systemic_arterial_finding	systemic arterial finding
snomed:Abdominal_aorta_structure	abdominal aorta structure
snomed:Descending_aorta_structure	descending aorta structure
snomed:Retroperitoneal_structure	retroperitoneal structure
snomed:Structure_of_artery_of_abdomen	structure of artery of abdomen
snomed:Abdominal_aortic_plexus_structure	abdominal aortic plexus structure
snomed:Abdominal_plexus	abdominal plexus
snomed:Structure_of_lumbar_portion_of_sympathetic_nervous_system	structure of lumbar portion of sympathetic nervous system
snomed:Abdominal_artery_repair	abdominal artery repair
snomed:Procedure_on_artery_of_abdomen	procedure on artery of abdomen
snomed:Repair_of_artery_of_thorax_and_abdomen	repair of artery of thorax and abdomen
snomed:Vascular_surgery_procedure_on_abdominal_region	vascular surgery procedure on abdominal region
snomed:Abdominal_cavity_operation	abdominal cavity operation
snomed:Surgical_action	surgical action
snomed:Abdominal_cavity_structure	abdominal cavity structure
snomed:Abdominal_cavity_proper_structure	abdominal cavity proper structure
snomed:Body_cavity_structure	body cavity structure
snomed:Abdominal_esophagus_structure	abdominal esophagus structure
snomed:Intra_abdominal_digestive_structure	intra-abdominal digestive structure
snomed:Structure_of_abdominal_viscus	structure of abdominal viscus
snomed:Structure_of_lower_third_of_esophagus	structure of lower third of esophagus
snomed:Abdominal_ganglion	abdominal ganglion
snomed:Sympathetic_ganglion_structure	sympathetic ganglion structure
snomed:Abdominal_lymph_node_group	abdominal lymph node group
snomed:Abdominal_lymph_node_structure	abdominal lymph node structure
snomed:Lymph_node_group	lymph node group
snomed:Lymph_node_structure_of_trunk	lymph node structure of trunk
snomed:Abdominal_organ_finding	abdominal organ finding
snomed:Viscus_structure_finding	viscus structure finding
snomed:Autonomic_plexus_structure	autonomic plexus structure
snomed:Peripheral_nerve_structure_of_trunk	peripheral nerve structure of trunk
snomed:Chest_and_or_abdomen_structure	chest and or abdomen structure
snomed:Lower_body_part_structure	lower body part structure
snomed:Structure_of_subregion_of_trunk	structure of subregion of trunk
snomed:Abdominal_vascular_structure	abdominal vascular structure
snomed:Abdominal_visceral_artery	abdominal visceral artery
snomed:Branch_of_abdominal_aorta	branch of abdominal aorta
snomed:Abdominal_wall_muscular_space	abdominal wall muscular space
snomed:Abdominal_wall_structure	abdominal wall structure
snomed:Abdominal_wall_procedure	abdominal wall procedure
snomed:Procedure_on_abdomen	procedure on abdomen
snomed:Body_wall_structure	body wall structure
snomed:Abducens_nerve_disorder	abducens nerve disorder
snomed:Cranial_nerve_disorder	cranial nerve disorder
snomed:Visual_system_disorder	visual system disorder
snomed:Abducens_nerve_structure	abducens nerve structure
snomed:Cranial_nerve_structure	cranial nerve structure
snomed:Structure_of_visual_system	structure of visual system
snomed:Aberrant_muscle_of_the_lower_limb	aberrant muscle of the lower limb
snomed:Congenital_anomaly_of_lower_limb	congenital anomaly of lower limb
snomed:Congenital_anomaly_of_skeletal_muscle	congenital anomaly of skeletal muscle
snomed:Congenital_ectopia	congenital ectopia
snomed:Skeletal_muscle_structure_of_lower_limb	skeletal muscle structure of lower limb
snomed:Congenital	congenital
snomed:Aberrant_muscle_of_the_upper_limb	aberrant muscle of the upper limb
snomed:Congenital_anomaly_of_upper_limb	congenital anomaly of upper limb
snomed:Skeletal_muscle_structure_of_upper_limb	skeletal muscle structure of upper limb
snomed:Abnormal_cell	abnormal cell
snomed:Entire_cell	entire cell
snomed:Morphologically_abnormal_structure	morphologically abnormal structure
snomed:Abnormal_red_blood_cell	abnormal red blood cell
snomed:Erythrocyte	erythrocyte
snomed:Congenital_malposition	congenital malposition
snomed:Tooth_structure	tooth structure
snomed:Abnormality_of_atrial_septum	abnormality of atrial septum
snomed:Structural_disorder_of_heart	structural disorder of heart
snomed:Mechanical_abnormality	mechanical abnormality
snomed:Interatrial_septum_structure	interatrial septum structure
snomed:Congenital_anomaly_of_adrenal_gland	congenital anomaly of adrenal gland
snomed:Congenital_malformation	congenital malformation
snomed:Adrenal_structure	adrenal structure
snomed:Atrioventricular_bundle_structure	atrioventricular bundle structure
snomed:Congenital_anomaly_of_the_bladder	congenital anomaly of the bladder
snomed:Congenital_malformation_of_the_urinary_system	congenital malformation of the urinary system
snomed:Urinary_bladder_structure	urinary bladder structure
snomed:Congenital_anomaly_of_breast	congenital anomaly of breast
snomed:Breast_structure	breast structure
snomed:Congenital_anomaly_of_bronchus	congenital anomaly of bronchus
snomed:Bronchial_structure	bronchial structure
snomed:Congenital_anomaly_of_carpal_bone	congenital anomaly of carpal bone
snomed:Bone_structure_of_carpus	bone structure of carpus
snomed:Bone_structure_of_cuboid	bone structure of cuboid
snomed:Myopathy_of_extraocular_muscles	myopathy of extraocular muscles
snomed:Soft_tissue_lesion	soft tissue lesion
snomed:Structure_of_extraocular_muscle	structure of extraocular muscle
snomed:Congenital_anomaly_of_eyelid	congenital anomaly of eyelid
snomed:Eyelid_structure	eyelid structure
snomed:Congenital_anomaly_of_fallopian_tubes	congenital anomaly of fallopian tubes
snomed:Congenital_malformation_of_genital_organs	congenital malformation of genital organs
snomed:Fallopian_tube_structure	fallopian tube structure
snomed:Gonadal_structure	gonadal structure
snomed:Congenital_anomaly_of_the_kidney	congenital anomaly of the kidney
snomed:Kidney_structure	kidney structure
snomed:Accessory_lacrimal_gland	accessory lacrimal gland
snomed:Conjunctival_gland	conjunctival gland
snomed:Eyelid_gland	eyelid gland
snomed:Lacrimal_gland_structure	lacrimal gland structure
snomed:Side	side
snomed:Accessory_ligament_of_knee_joint	accessory ligament of knee joint
snomed:Intracapsular_ligament_of_knee_joint	intracapsular ligament of knee joint
snomed:Structure_of_lobe_of_lung	structure of lobe of lung
snomed:Congenital_anomaly_of_lung	congenital anomaly of lung
snomed:Lung_structure	lung structure
snomed:Bone_structure_of_navicular	bone structure of navicular
snomed:Accessory_nerve_structure	accessory nerve structure
snomed:Congenital_anomaly_of_nose	congenital anomaly of nose
snomed:Disorder_of_external_nose	disorder of external nose
snomed:External_nose_structure	external nose structure
snomed:Congenital_anomaly_of_abdomen	congenital anomaly of abdomen
