Entity1	Entity2	Value
fma:Coronary_sinus	nci:Coronary_Sinus	0.55
fma:Thyrotropin_releasing_factor	nci:Protirelin	0.13
fma:First_sacral_vertebra	nci:S1_Vertebra	0.68
fma:Cephalic_vein	nci:Cephalic_Vein	0.54
fma:Insulin	nci:Insulin	0.5
fma:Sixth_thoracic_vertebra	nci:T6_Vertebra	0.67
fma:Set_of_subarachnoid_cisterns	nci:Subarachnoid_Cistern	0.49
fma:Retina	nci:Retina	0.55
fma:Genital_system	nci:Genital	0.41
fma:Set_of_genital_systems	nci:Genital	0.4
fma:Fifth_sacral_vertebra	nci:S5_Vertebra	0.68
fma:Messenger_ribonucleic_acid	nci:Messenger_RNA	0.5
fma:Adrenocorticotropin	nci:Adrenocorticotropic_Hormone	0.5
fma:Lymphokine	nci:Therapeutic_Lymphokine	0.61
fma:Hepatic_perisinusoidal_space	nci:Perisinusoidal_Space	0.56
fma:Portion_of_connective_tissue	nci:Connective_Tissue	0.77
fma:Vein	nci:Vein	0.66
fma:Somatotropin	nci:Growth_Hormone	0.5
fma:Liver_parenchyma	nci:Hepatic_Tissue	0.54
fma:Cardinal_cell_part	nci:Cell_Part	0.51
fma:Arachnoid_villus	nci:Arachnoid_Villus	0.56
fma:Nose	nci:Nasal	0.27
fma:Thorax	nci:Thoracic	0.37
fma:Somatotropin	nci:Therapeutic_Growth_Hormone	0.5
fma:Tibial	nci:Tibia	0.47
fma:Nuclear_lamin	nci:Nuclear_Lamin	0.55
fma:Scaphoid_fossa	nci:Fossa_of_the_Helix	0.3
fma:Cardiac_atrium	nci:Atrial	0.2
fma:Volume	nci:Publication_Volume	0.5
fma:Set_of_pulmonary_veins	nci:Pulmonary_Vein	0.53
fma:Pancreas	nci:Pancreas	0.64
fma:Oral_cavity	nci:Oral_Cavity	0.5
fma:Sebum	nci:Sebum	0.58
fma:Set_of_renal_veins	nci:Renal_Vein	0.53
fma:Glial_filament	nci:Glial_Fibrillary_Acidic_Protein	0.55
fma:Nasal_mucus	nci:Nasal_Mucus	0.66
fma:Root_canal_of_tooth	nci:Canalis_Radicis_Dentis	0.5
fma:Set_of_veins	nci:Vein	0.63
fma:Orbit	nci:Orbit	0.55
