Entity1	Entity2	Value
fma:Fibrous_layer_of_eyeball	snomed:Fibrous_tunic_of_eye_structure	0.29
fma:Pancreatic_islet	snomed:Endocrine_pancreatic_structure	0.17
fma:Right_maxillary_sinus	snomed:Right_maxillary_sinus_structure	0.53
fma:Superior_mesenteric_artery	snomed:Superior_mesenteric_artery_structure	0.5
fma:Central_tendon	snomed:Central_tendon_of_diaphragm_structure	0.49
fma:Right_lateral_part_of_neck	snomed:Structure_of_right_half_of_neck	0.24
fma:Intersigmoid_recess	snomed:Structure_of_intersigmoid_recess	0.46
fma:Anterolateral_surface_of_arytenoid	snomed:Anterolateral_surface_of_arytenoid_cartilage	0.52
fma:Urachus	snomed:Structure_of_urachus	0.35
fma:Lymphatic_vessel_of_head	snomed:Structure_of_lymphatic_system_of_head	0.22
fma:Mediastinal_surface_of_lung	snomed:Structure_of_mediastinal_part_of_medial_surface_of_lung	0.39
fma:Anterior_inferior_renal_segment	snomed:Structure_of_anterior_inferior_renal_segment	0.47
fma:Cartilage_tissue	snomed:Cartilage_tissue	0.52
fma:Middle_lobe_of_lung	snomed:Structure_of_right_middle_lobe_of_lung	0.44
fma:Left_medial_basal_segmental_artery	snomed:Structure_of_medial_basal_branch_of_left_pulmonary_artery	0.43
fma:Anal_canal	snomed:Anal_canal_structure	0.44
fma:Set_of_fimbriae_of_uterine_tube	snomed:Structure_of_fimbria_of_fallopian_tube	0.21
fma:Pyramidal_tract	snomed:Pyramidal_tract_structure	0.48
fma:Auditory_association_cortex	snomed:Wernicke_s_area	0.07
fma:Falciform_ligament	snomed:Falciform_ligament_structure	0.48
fma:Dorsal_median_sulcus_of_medulla_oblongata	snomed:Medulla_oblongata_dorsal_median_sulcus	0.54
fma:Suprarenal_aorta	snomed:Structure_of_suprarenal_aorta	0.42
fma:Middle_colic_artery	snomed:Structure_of_middle_colic_artery	0.45
fma:Vestibulocochlear_artery	snomed:Structure_of_vestibulocochlear_artery	0.46
fma:Inferior_duodenal_fossa	snomed:Structure_of_inferior_duodenal_recess	0.5
fma:Marginal_branch_of_right_coronary_artery	snomed:Structure_of_marginal_branch_of_right_coronary_artery	0.49
fma:Humeral_head_of_pronator_teres	snomed:Structure_of_humeral_head_of_pronator_teres_muscle	0.43
fma:Frenulum_of_lip	snomed:Structure_of_frenulum_labii	0.34
fma:Anterior_choroidal_artery	snomed:Structure_of_anterior_choroidal_artery	0.46
fma:Medial_articular_facet_of_patella	snomed:Structure_of_medial_articular_facet_of_patella	0.5
fma:Parotid_duct	snomed:Parotid_duct_structure	0.48
fma:Calcarine_sulcus	snomed:Calcarine_sulcus	0.55
fma:Right_medial_basal_bronchopulmonary_segment	snomed:Structure_of_medial_basal_segment_of_right_lower_lobe_of_lung	0.51
fma:Left_lateral_basal_segmental_artery	snomed:Structure_of_lateral_basal_branch_of_left_pulmonary_artery	0.36
fma:Anterior_surface_of_pancreas	snomed:Structure_of_anterior_surface_of_pancreas	0.5
fma:External_surface_of_sclera	snomed:Structure_of_external_surface_of_sclera	0.54
fma:Bronchiolar_non_ciliated_cell	snomed:Clara_cell_of_bronchiole	0.56
fma:Ejaculatory_duct	snomed:Ejaculatory_duct_structure	0.49
fma:Anterior_surface_of_lens	snomed:Structure_of_anterior_surface_of_lens	0.52
fma:Tooth	snomed:Tooth_structure	0.43
fma:Submucosa_of_urinary_bladder	snomed:Submucosa_of_urinary_bladder	0.55
fma:Longitudinal_muscle_layer_of_rectum	snomed:Longitudinal_layer_of_rectal_muscularis_propria	0.55
fma:Anterior_surface_of_thigh	snomed:Structure_of_anterior_surface_of_thigh	0.5
fma:Corpus_callosum	snomed:Corpus_callosum_structure	0.47
fma:Cusp_of_pulmonary_valve	snomed:Structure_of_cusp_of_pulmonic_valve	0.39
fma:Clavicle	snomed:Bone_structure_of_clavicle	0.29
fma:Mucosa_of_seminal_vesicle	snomed:Structure_of_mucosa_of_seminal_vesicle	0.46
fma:Pancreatic_notch	snomed:Structure_of_pancreatic_incisura	0.45
fma:Left_anterior_cusp_of_pulmonary_valve	snomed:Structure_of_anterior_cusp_of_pulmonic_valve	0.49
fma:Notch_for_ligamentum_teres	snomed:Structure_of_incisure_for_round_ligament_of_liver	0.48
fma:Optic_radiation	snomed:Structure_of_optic_radiation	0.41
fma:Intervertebral_foramina	snomed:Structure_of_intervertebral_foramen	0.35
fma:Left_margin_of_tongue	snomed:Structure_of_left_margin_of_tongue	0.44
fma:Cavity_of_stomach	snomed:Structure_of_gastric_lumen	0.09
fma:Femur	snomed:Structure_of_femur	0.28
fma:Inferior_lacrimal_punctum	snomed:Lower_lacrimal_punctum	0.41
fma:Perforating_branch_of_internal_thoracic_artery	snomed:Structure_of_perforating_branch_of_internal_thoracic_artery	0.57
fma:Orifice_of_prostatic_duct	snomed:Structure_of_orifice_of_prostatic_duct	0.44
fma:Left_visceral_pleura	snomed:Structure_of_left_visceral_pleura	0.45
fma:Lateral_orbital_gyrus	snomed:Lateral_orbital_gyrus	0.53
fma:Talar_facet_of_navicular_bone_of_foot	snomed:Structure_of_talar_facet_of_navicular_bone_of_foot	0.49
fma:Foliate_papilla_of_tongue	snomed:Structure_of_foliate_papillae_of_tongue	0.47
fma:Fasciolar_gyrus	snomed:Structure_of_fasciolar_gyrus	0.38
fma:Intervertebral_foramen_of_eleventh_thoracic_vertebra	snomed:Structure_of_intervertebral_foramen_of_eleventh_thoracic_vertebra	0.51
fma:Costal_surface_of_scapula	snomed:Structure_of_costal_aspect_of_scapula	0.47
